Conc,Temp
0.28214,394.61
0.27891,394.76
0.27735,395.01
0.27461,394.8
0.27652,394.71
0.27763,394.86
0.27648,395.25
0.27233,394.88
0.27568,394.87
0.27562,394.44
0.27964,394.16
0.28314,394.49
0.27975,394.22
0.28257,394.57
0.27922,394.68
0.2786,395.48
0.27053,395.32
0.2714,395.03
0.27366,394.3
0.28145,394.58
0.27919,394.76
0.27733,394.94
0.27565,395.16
0.273,394.74
0.23998,395
0.23844,397.16
0.21828,398.2
0.20813,396.62
0.21783,394.62
0.23221,392.63
0.24917,391.31
0.26516,391.4
0.26561,391.48
0.26502,391.57
0.26774,392.78
0.25502,392.95
0.25438,393.82
0.24532,393.79
0.24607,394.29
0.24043,393.97
0.24111,393.02
0.2514,393.22
0.24994,393.25
0.24851,392.82
0.29262,392.4
0.29596,390.48
0.31604,390
0.32479,390.39
0.32697,392.78
0.30136,395.23
0.2746,397.05
0.25558,398.5
0.2426,397.52
0.24985,395.39
0.26854,394.17
0.28151,393.82
0.28461,392.81
0.29518,392.69
0.29831,393.26
0.29358,394.24
0.28383,395.33
0.27243,395.7
0.26807,395.37
0.27063,394.9
0.23819,394.83
0.23908,396.46
0.22377,396.92
0.21884,396.73
0.21792,394.69
0.23215,392.85
0.24814,391.73
0.25852,390.87
0.26932,390.95
0.27096,391.45
0.26762,392.16
0.26332,393.62
0.2488,394.26
0.24185,394.47
0.23911,394.35
0.23948,394.04
0.24138,393.46
0.24651,393.14
0.24857,392.49
0.25643,392.81
0.29398,392.79
0.29258,390.53
0.31613,390.29
0.32257,390.84
0.32158,393.06
0.29812,395.51
0.27165,397.11
0.25495,398.26
0.24457,397.33
0.25162,395.65
0.26621,394.17
0.28014,392.99
0.29187,392.15
0.30206,392.16
0.30501,393.4
0.29275,394.62
0.28009,395.75
0.26842,396.49
0.26079,396.55
0.25955,395.51
0.23195,394.81
0.23991,396.79
0.2211,397.11
0.21647,396.04
0.22381,394.89
0.23046,392.66
0.25011,391.75
0.25996,391.3
0.26553,391.23
0.26737,391.43
0.27,392.94
0.25511,393.71
0.24775,394.46
0.24024,394.7
0.23711,394.52
0.23779,394.05
0.24133,393.54
0.24502,392.85
0.25027,392.07
0.25887,392.04
0.30232,392.37
0.29772,390.58
0.31408,389.73
0.32888,390.63
0.32288,392.27
0.30742,395.33
0.27384,397.4
0.25257,398.04
0.24623,397.24
0.25245,395.51
0.26767,394.29
0.27901,392.99
0.29259,392.53
0.29925,392.86
0.29703,393.52
0.29093,394.52
0.28075,395.31
0.27263,396.02
0.26519,395.68
0.26787,395.45
0.23352,395.05
0.23637,396.26
0.2255,396.95
0.21786,395.8
0.22453,394
0.23844,392.55
0.25212,391.84
0.25937,391.36
0.26442,391.13
0.26975,391.81
0.2649,392.67
0.25794,393.81
0.24658,394.3
0.24132,394.47
0.23864,394.11
0.24133,393.8
0.2445,393.74
0.2437,393.03
0.24985,392.64
0.25325,392.25
0.25761,392.21
0.26052,392.96
0.25449,393.77
0.24532,393.54
0.24706,393.59
0.24762,394.01
0.24213,393.37
0.2467,392.81
0.25365,393.12
0.25078,393.09
0.25052,392.93
0.25203,392.91
0.25298,393.13
0.25057,393.08
0.25197,393.52
0.24711,393.32
0.24855,393.21
0.2505,393.49
0.24799,393.64
0.24626,393.61
0.28563,393.28
0.28788,391.14
0.30935,390.58
0.31878,390.96
0.31825,392.32
0.306,394.81
0.27902,397.31
0.25336,398.51
0.24217,397.79
0.2477,396.65
0.25691,393.99
0.28096,392.83
0.29441,392.52
0.29851,392.34
0.30299,393.55
0.29102,394.62
0.27983,395.58
0.27002,396.46
0.26113,396.21
0.26282,395.9
0.22938,394.88
0.23859,396.5
0.22345,396.94
0.21814,396.14
0.22237,394.45
0.23411,392.61
0.25009,391.48
0.26367,391.51
0.26507,391.74
0.26393,392.16
0.2614,392.94
0.25532,394.04
0.24449,394.53
0.23883,394.44
0.23845,393.93
0.24267,393.58
0.24601,393.39
0.24707,392.93
0.25118,392.66
0.25512,392.95
0.29085,392.22
0.29753,390.46
0.31612,389.91
0.32691,390.68
0.32361,392.92
0.30021,395.94
0.26749,397.58
0.25056,398.27
0.24436,396.91
0.25521,395.51
0.2673,393.75
0.28352,392.45
0.29845,392.35
0.30123,392.68
0.29941,393.66
0.29009,395.03
0.27605,396.5
0.26122,396.48
0.26036,396.03
0.26435,395.63
0.2675,394.39
0.27927,393.9
0.28355,392.79
0.29658,393.29
0.29309,394.21
0.28369,394.88
0.27643,394.86
0.27635,395.14
0.27381,395.48
0.27057,396.05
0.26473,395.37
0.27051,394.98
0.27443,394.75
0.27669,394.43
0.28045,394.8
0.27662,394.39
0.28107,394.93
0.2759,395.19
0.273,395.16
0.27314,395.08
0.27391,395.06
0.27358,394.38
0.28036,394.39
0.28087,394.63
0.27816,394.24
0.2826,394.81
0.27694,394.72
0.27737,394.64
0.27826,394.72
0.27734,394.48
0.27925,394.08
0.28239,393.22
0.29282,393.94
0.28632,394.64
0.27885,394.76
0.27751,395.19
0.27305,395.07
0.27386,394.95
0.27523,395.08
0.27358,394.46
0.27985,394.68
0.27801,394.7
0.27764,394.67
0.27799,394.79
0.27715,395.16
0.27316,394.68
0.2777,394.84
0.27613,394.49
0.27983,394.83
0.2767,394.98
0.27505,395.05
0.2739,394.59
0.27809,394.29
0.28148,394.32
0.28166,394.62
0.27847,394.47
0.27978,394.45
0.28064,395.01
0.27469,394.45
0.27992,394.59
0.24165,394.55
0.24217,396.49
0.22407,397.49
0.21401,396.56
0.21931,395
0.22929,392.79
0.24803,391.56
0.2611,391.07
0.26653,390.76
0.27226,391.26
0.27026,392.28
0.26131,393.29
0.25129,393.86
0.24641,394.7
0.23745,394.47
0.23832,394.08
0.24051,393.29
0.24791,393.03
0.24994,392.56
0.25543,392.7
0.29488,392.63
0.29442,390.66
0.31374,390.02
0.32605,390.93
0.31996,392.76
0.30101,394.93
0.27762,397.07
0.25543,398.5
0.24218,398.19
0.24449,396.28
0.25969,393.98
0.28109,392.75
0.29497,392.34
0.30133,392.79
0.29762,393.29
0.29384,394.78
0.2788,396.6
0.26047,396.63
0.25892,396.04
0.26408,395.46
0.23254,394.19
0.24371,395.32
0.23462,396.85
0.2196,396.02
0.22354,394.42
0.23695,393.64
