U1,U2,T(k-1),C(k-1)
1.1,16.5,393.63,0.29892
1.1,16.5,394.81,0.29014
1.1,16.5,395.83,0.27797
1.1,16.5,396.28,0.26749
1.1,16.5,396.05,0.26259
1.1,16.5,395.33,0.26416
1.1,16.5,394.5,0.27039
1.1,16.5,393.85,0.27831
1.1,16.5,393.57,0.28509
1.1,16.5,393.67,0.28869
1.1,16.5,394.09,0.28831
1.1,16.5,394.65,0.28448
1.1,16.5,395.14,0.27891
1.1,16.5,395.38,0.27387
1.1,16.5,395.32,0.27114
1.1,16.5,395.02,0.27136
1.1,16.5,394.63,0.27398
1.1,16.5,394.3,0.27771
1.1,16.5,394.13,0.28111
1.1,16.5,394.16,0.28309
1.1,16.5,394.34,0.28315
1.1,16.5,394.61,0.28152
1.1,16.5,394.84,0.27897
1.1,16.5,394.98,0.27653
1.1,16.5,394.97,0.27505
0.9,13.5,394.84,0.27494
0.9,13.5,394.66,0.27602
0.9,13.5,397.21,0.24264
0.9,13.5,397.96,0.21806
0.9,13.5,396.87,0.21006
0.9,13.5,394.9,0.2163
0.9,13.5,392.97,0.23036
0.9,13.5,391.6,0.24638
0.9,13.5,390.96,0.26006
0.9,13.5,391.01,0.26865
0.9,13.5,391.63,0.27079
0.9,13.5,392.59,0.26673
0.9,13.5,393.59,0.25838
0.9,13.5,394.32,0.24887
0.9,13.5,394.58,0.24144
0.9,13.5,394.37,0.23805
0.9,13.5,393.86,0.23885
0.9,13.5,393.27,0.24265
0.9,13.5,392.78,0.24771
0.9,13.5,392.51,0.25239
0.9,13.5,392.49,0.2555
0.9,13.5,392.67,0.25647
0.9,13.5,392.97,0.25539
0.9,13.5,393.29,0.25292
0.9,13.5,393.52,0.25001
0.9,13.5,393.62,0.24761
0.9,13.5,393.58,0.24633
0.9,13.5,393.44,0.24633
0.9,13.5,393.26,0.24736
0.9,13.5,393.1,0.2489
0.9,13.5,393,0.25043
0.9,13.5,392.98,0.25152
0.9,13.5,393.03,0.25194
0.9,13.5,393.12,0.25169
0.9,13.5,393.22,0.25097
0.9,13.5,393.3,0.25007
0.9,13.5,393.33,0.24929
0.9,13.5,393.33,0.24882
0.9,13.5,393.29,0.24875
