C,T
0.26319,395.5
0.26888,394.64
0.27687,393.93
0.28416,393.57
0.28851,393.61
0.28886,393.99
0.28549,394.55
0.27998,395.07
0.27458,395.38
0.27129,395.37
0.27098,395.1
0.2733,394.7
0.277,394.35
0.28061,394.14
0.28295,394.13
0.28337,394.3
0.28198,394.56
0.27948,394.81
0.27689,394.97
0.27517,394.99
0.2748,394.88
0.27571,394.7
0.2423,397.23
0.21784,397.96
0.21001,396.86
0.21638,394.88
0.23051,392.95
0.24654,391.59
0.2602,390.95
0.26873,391.01
0.2708,391.64
0.26668,392.6
0.25829,393.6
0.24878,394.33
0.24137,394.58
0.23802,394.37
0.23886,393.85
0.24269,393.26
0.24777,392.78
0.25244,392.51
0.25553,392.49
0.25648,392.67
0.28947,390.57
0.31435,390
0.32595,390.8
0.32146,392.71
0.30191,395.22
0.27464,397.43
0.2522,398.3
0.24395,397.53
0.24997,395.81
0.26446,394.05
0.28091,392.84
0.2941,392.39
0.30059,392.71
0.29894,393.62
0.29021,394.81
0.27807,395.82
0.26757,396.27
0.26263,396.05
0.26415,395.34
0.27034,394.5
0.24338,396.51
0.22371,397.07
0.2171,396.2
0.22203,394.61
0.23361,393.02
0.24699,391.87
0.25846,391.33
0.26559,391.38
0.26726,391.91
0.26376,392.71
0.25678,393.54
0.24894,394.13
0.24285,394.34
0.24007,394.17
0.24074,393.74
0.2439,393.25
0.24811,392.85
0.25201,392.63
0.25458,392.61
0.25536,392.76
0.28852,390.61
0.31377,390
0.32585,390.76
0.32188,392.64
0.30272,395.14
0.2755,397.38
0.2527,398.3
0.24395,397.57
0.24959,395.87
0.26393,394.1
0.28041,392.86
0.29378,392.39
0.30052,392.69
0.29912,393.59
0.29057,394.77
0.27845,395.79
0.26782,396.27
0.26267,396.06
0.264,395.36
0.2701,394.53
0.24314,396.53
0.22356,397.07
0.21708,396.19
0.2221,394.59
0.23373,393.01
0.24711,391.86
0.25856,391.32
0.26564,391.38
0.26726,391.91
0.26371,392.72
0.25671,393.55
0.24887,394.14
0.2428,394.35
0.24005,394.17
0.24076,393.74
0.24393,393.25
0.24815,392.85
0.25204,392.63
0.2546,392.61
0.25536,392.76
0.25443,393.02
0.25235,393.28
0.24994,393.47
0.24796,393.55
0.24692,393.52
0.24694,393.4
0.2478,393.25
0.24909,393.11
0.25036,393.03
0.25126,393.02
0.25159,393.06
0.25138,393.13
0.25077,393.22
0.25002,393.28
0.24938,393.31
0.249,393.31
0.24895,393.27
0.24918,393.23
0.24956,393.18
0.24997,393.16
0.25028,393.15
0.25041,393.16
0.25037,393.18
0.2502,393.21
0.24997,393.23
0.24976,393.24
0.24962,393.24
0.24959,393.23
0.24965,393.22
0.24976,393.2
0.24989,393.19
0.24999,393.19
0.25005,393.19
0.25004,393.2
0.24999,393.21
0.24992,393.21
0.24986,393.22
0.24981,393.22
0.24979,393.21
0.24981,393.21
0.28386,390.8
0.31094,389.95
0.32544,390.52
0.324,392.27
0.30675,394.75
0.27975,397.12
0.2552,398.31
0.24393,397.8
0.24771,396.17
0.26129,394.34
0.27798,392.99
0.29222,392.39
0.3002,392.58
0.30006,393.41
0.29237,394.58
0.28037,395.67
0.26908,396.26
0.26288,396.15
0.26329,395.5
0.26888,394.65
0.24193,396.6
0.22284,397.07
0.21697,396.13
0.22245,394.52
0.23431,392.94
0.24772,391.82
0.25904,391.31
0.2659,391.39
0.26726,391.94
0.26349,392.76
0.25635,393.58
0.24851,394.16
0.24256,394.35
0.23998,394.15
0.24083,393.72
0.2441,393.23
0.24835,392.83
0.25221,392.62
0.25469,392.61
0.25537,392.77
0.25436,393.03
0.25224,393.29
0.24983,393.48
0.24788,393.56
0.24689,393.52
0.24696,393.39
0.24785,393.24
0.24916,393.11
0.25042,393.03
0.25129,393.02
0.2516,393.06
0.25136,393.14
0.25074,393.22
0.24999,393.28
0.24935,393.31
0.24899,393.31
0.24895,393.27
0.24919,393.23
0.24958,393.18
0.24999,393.15
0.25029,393.15
0.25042,393.16
0.25037,393.18
0.25019,393.21
0.24996,393.23
0.24975,393.24
0.24962,393.24
0.24959,393.23
0.24965,393.22
0.24977,393.2
0.2499,393.19
0.25,393.19
0.25005,393.19
0.25004,393.2
0.24999,393.21
0.24992,393.21
0.24985,393.22
0.24981,393.22
0.24979,393.21
0.24981,393.21
0.24984,393.21
0.24988,393.2
0.24992,393.2
0.24993,393.2
0.24993,393.2
0.24992,393.21
0.2499,393.21
0.24988,393.21
0.24986,393.21
0.24986,393.21
0.24986,393.21
0.24987,393.21
0.24988,393.21
0.24989,393.21
0.2499,393.21
0.2499,393.21
0.2499,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.28389,390.81
0.31094,389.96
0.3254,390.53
0.32394,392.27
0.30668,394.75
0.27971,397.12
0.25519,398.3
0.24396,397.8
0.24775,396.16
0.26133,394.34
0.278,392.99
0.29223,392.39
0.30019,392.58
0.30003,393.41
0.29234,394.59
0.28035,395.67
0.26907,396.26
0.26289,396.15
0.26331,395.5
0.2689,394.65
0.24195,396.6
0.22284,397.07
0.21696,396.14
0.22244,394.52
0.2343,392.94
0.24772,391.82
0.25904,391.31
0.2659,391.39
0.26726,391.94
0.26349,392.76
0.25636,393.58
0.24852,394.16
0.24256,394.35
0.23998,394.15
0.24083,393.72
0.2441,393.23
0.24835,392.83
0.2522,392.62
0.25469,392.61
0.25537,392.77
0.28844,390.63
0.31364,390.01
0.32571,390.77
0.32176,392.64
0.30267,395.14
0.27554,397.37
0.2528,398.29
0.24406,397.57
0.24966,395.87
0.26395,394.1
0.28039,392.87
0.29372,392.4
0.30045,392.69
0.29907,393.59
0.29055,394.77
0.27847,395.79
0.26786,396.27
0.26272,396.06
0.26404,395.36
0.27011,394.53
0.24313,396.53
0.22354,397.07
0.21705,396.19
0.22208,394.59
0.23372,393
0.24712,391.86
0.25857,391.32
0.26565,391.38
0.26727,391.91
0.26372,392.72
0.25671,393.55
0.24886,394.14
0.24279,394.35
0.24004,394.17
0.24075,393.74
0.24393,393.25
0.24815,392.85
0.25204,392.63
0.2546,392.61
0.25536,392.76
0.28851,390.62
0.31375,390
0.32583,390.76
0.32186,392.64
0.30271,395.14
0.27551,397.38
0.25272,398.3
0.24397,397.57
0.2496,395.87
0.26393,394.1
0.28041,392.86
0.29377,392.39
0.30051,392.69
0.29911,393.59
0.29057,394.77
0.27845,395.79
0.26783,396.27
0.26268,396.06
0.26401,395.36
0.2701,394.53
0.27801,393.87
0.28486,393.57
0.28861,393.66
0.28839,394.07
0.28467,394.63
0.27914,395.12
0.27404,395.38
0.2712,395.33
0.27131,395.04
0.27385,394.65
0.27756,394.31
0.28099,394.14
0.28304,394.16
0.28318,394.34
0.28161,394.6
0.27907,394.84
0.27661,394.97
0.27509,394.97
0.27492,394.85
0.27597,394.67
0.27767,394.5
0.27936,394.41
0.28045,394.4
0.28065,394.48
0.28,394.6
0.27885,394.71
0.27766,394.79
0.27687,394.8
0.27669,394.75
0.2771,394.66
0.27788,394.58
0.27869,394.53
0.27926,394.52
0.27942,394.55
0.27917,394.61
0.27865,394.66
0.27808,394.7
0.27767,394.71
0.27754,394.69
0.2777,394.65
0.24288,397.34
0.21703,398.15
0.20855,397.04
0.21495,394.98
0.22949,392.98
0.24606,391.56
0.26026,390.88
0.26923,390.93
0.27155,391.57
0.26745,392.55
0.25884,393.59
0.24897,394.35
0.24121,394.63
0.23763,394.42
0.23842,393.89
0.24233,393.27
0.24757,392.77
0.25243,392.49
0.25567,392.46
0.25671,392.65
0.25562,392.96
0.25307,393.28
0.25005,393.53
0.24755,393.64
0.24621,393.6
0.2462,393.45
0.24725,393.26
0.24885,393.1
