C,T
2.5235E-01,3.939403E+02
2.450519E-01,3.943447E+02
2.402252E-01,3.943131E+02
2.389551E-01,3.938885E+02
2.432132E-01,3.933542E+02
2.47115E-01,3.929245E+02
2.521154E-01,3.927059E+02
2.536463E-01,3.926942E+02
2.539472E-01,3.927741E+02
2.542884E-01,3.929475E+02
2.529498E-01,3.931871E+02
2.508896E-01,3.934056E+02
2.482729E-01,3.935106E+02
2.475419E-01,3.934991E+02
2.456902E-01,3.933253E+02
2.489866E-01,3.931225E+02
2.512881E-01,3.930956E+02
2.51099E-01,3.931658E+02
2.497245E-01,3.931943E+02
2.483515E-01,3.930849E+02
2.501997E-01,3.929323E+02
2.513528E-01,3.928416E+02
2.520221E-01,3.927892E+02
2.543858E-01,3.92874E+02
2.531775E-01,3.930784E+02
2.520007E-01,3.93296E+02
2.490083E-01,3.934274E+02
2.484085E-01,3.934495E+02
2.478758E-01,3.934214E+02
2.493466E-01,3.934321E+02
2.494973E-01,3.935437E+02
2.470277E-01,3.935953E+02
2.450048E-01,3.934197E+02
2.473277E-01,3.931462E+02
2.496248E-01,3.929465E+02
2.517336E-01,3.928567E+02
2.518454E-01,3.928253E+02
2.532611E-01,3.928602E+02
2.536459E-01,3.930204E+02
2.529689E-01,3.932793E+02
2.487533E-01,3.934378E+02
2.469625E-01,3.933651E+02
2.485996E-01,3.932384E+02
2.482466E-01,3.930916E+02
2.498187E-01,3.929157E+02
2.520737E-01,3.928347E+02
2.540804E-01,3.929369E+02
2.519101E-01,3.930951E+02
2.517979E-01,3.932416E+02
2.848757E-01,3.91008E+02
3.097263E-01,3.902772E+02
3.217854E-01,3.908498E+02
3.180024E-01,3.923575E+02
3.055179E-01,3.944522E+02
2.824828E-01,3.965472E+02
2.612975E-01,3.97747E+02
2.496578E-01,3.976127E+02
2.491362E-01,3.963399E+02
2.609424E-01,3.947311E+02
2.749693E-01,3.934752E+02
2.862275E-01,3.927383E+02
2.960937E-01,3.92636E+02
2.998559E-01,3.932572E+02
2.94093E-01,3.943692E+02
2.82874E-01,3.955234E+02
2.702736E-01,3.962183E+02
2.638739E-01,3.962341E+02
2.617816E-01,3.956233E+02
2.672878E-01,3.946784E+02
2.414034E-01,3.965009E+02
2.237477E-01,3.969079E+02
2.186235E-01,3.960256E+02
2.24156E-01,3.945484E+02
2.346548E-01,3.93103E+02
2.464944E-01,3.920286E+02
2.56854E-01,3.914695E+02
2.648862E-01,3.914972E+02
2.651822E-01,3.919612E+02
2.614673E-01,3.925647E+02
2.575181E-01,3.931892E+02
2.520652E-01,3.937442E+02
2.47135E-01,3.94108E+02
2.422231E-01,3.941475E+02
2.405056E-01,3.938172E+02
2.439206E-01,3.933638E+02
2.458007E-01,3.929022E+02
2.499601E-01,3.924757E+02
2.551678E-01,3.922803E+02
2.56804E-01,3.923174E+02
2.573012E-01,3.924942E+02
2.572301E-01,3.928195E+02
2.546156E-01,3.932276E+02
2.515557E-01,3.93613E+02
2.462582E-01,3.937884E+02
2.458911E-01,3.937652E+02
2.454689E-01,3.936771E+02
2.455352E-01,3.935044E+02
2.471503E-01,3.933097E+02
2.48521E-01,3.931492E+02
2.492656E-01,3.929959E+02
2.502072E-01,3.928318E+02
2.521957E-01,3.927209E+02
2.550138E-01,3.928031E+02
2.541021E-01,3.930453E+02
2.524921E-01,3.933197E+02
2.499028E-01,3.935518E+02
2.478749E-01,3.936855E+02
2.475137E-01,3.937802E+02
2.454115E-01,3.93794E+02
2.785973E-01,3.912254E+02
3.055868E-01,3.901297E+02
3.233686E-01,3.904658E+02
3.23304E-01,3.92001E+02
3.095378E-01,3.943031E+02
2.839974E-01,3.966384E+02
2.600142E-01,3.979787E+02
2.480412E-01,3.978715E+02
2.482943E-01,3.966699E+02
2.572939E-01,3.950305E+02
2.722896E-01,3.9362E+02
2.845782E-01,3.92744E+02
2.979539E-01,3.926639E+02
2.989093E-01,3.93365E+02
2.937385E-01,3.945068E+02
2.815576E-01,3.956976E+02
