U1,U2,T1,T2
80,63,68.707,65.839
80,87,68.745,64.895
80,87,69.571,65.647
80,87,70.007,65.711
80,87,70.547,65.964
80,87,71.119,66.521
80,87,70.942,66.163
80,87,71.075,66.493
80,87,71.336,65.993
80,87,71.467,66.369
80,87,71.792,66.351
80,87,71.995,66.087
80,87,72.316,67.269
60,87,72.521,67.142
60,87,72.429,66.923
60,87,72.485,68.219
60,87,73.002,68.525
60,87,73.775,67.952
60,87,74.479,68.995
60,87,73.953,69.291
60,87,73.68,69.887
60,87,74.146,69.545
60,87,74.385,69.907
60,87,73.958,69.406
60,87,74.082,69.736
60,63,74.517,71.467
60,63,74.525,71.117
60,63,74.185,70.555
60,63,73.495,69.543
60,63,73.42,70.383
60,63,73.162,70.096
60,63,72.937,69.606
60,63,72.544,70.403
60,63,72.365,70.055
60,63,72.791,70.97
60,63,73.699,70.315
60,63,73.501,69.45
60,63,73.049,70.115
60,63,72.802,69.541
60,63,72.491,70.327
60,63,72.761,70.034
60,63,73.904,70.67
60,63,74.815,70.434
60,63,74.514,70.484
60,63,72.913,69.581
60,63,71.947,69.721
60,63,71.801,69.413
60,63,71.949,69.054
60,63,72.182,68.937
60,63,71.594,68.36
60,63,71.937,68.943
60,63,72.336,69.199
60,63,72.118,70.106
60,63,72.018,69.346
60,63,71.667,68.376
60,63,71.038,67.616
60,63,71.047,68.618
60,63,71.535,69.028
60,63,71.26,68.389
60,63,70.997,68.553
60,63,71.312,68.08
60,63,71.408,67.543
60,63,71.28,67.355
60,63,72.171,68.961
60,63,73.149,69.565
60,63,73.434,69.048
60,63,73.003,68.133
60,63,72.743,67.253
60,63,72.434,67.405
60,63,72.351,68.141
60,63,72.15,68.377
60,63,72.364,69.513
60,63,72.382,70.781
80,87,71.553,69.766
80,87,71.437,67.565
80,87,71.562,67.383
80,87,71.813,68.714
80,87,71.656,69.021
80,87,71.319,69.809
80,87,71.123,68.559
80,87,71.458,67.572
80,87,71.908,68.577
80,87,72.161,69.129
80,87,72.083,68.604
80,87,71.805,68.082
60,63,71.594,67.589
60,63,71.905,68.917
60,63,73.035,69.703
60,63,73.868,69.214
60,63,74.202,69.992
60,63,73.634,69.971
60,63,73.209,69.395
60,63,73.535,69.939
60,63,73.803,69.444
60,63,73.8,68.966
60,63,73.967,68.495
60,63,73.414,68.732
60,87,73.874,70.32
60,87,74.019,70.589
60,87,74.163,70.933
60,87,73.136,70
60,87,72.395,69.92
60,87,72.423,70.482
60,87,72.968,70.025
60,87,73.07,68.878
60,87,73.124,68.459
60,87,73.129,70.261
60,87,73.172,71.872
60,87,73.571,72.516
60,63,73.534,71.327
60,63,72.811,70.493
60,63,72.522,69.675
60,63,72.381,69.486
60,63,73.177,71.29
60,63,73.725,71.718
60,63,73.664,71.598
60,63,72.155,70.459
60,63,70.748,69.069
60,63,70.798,69.958
60,63,71.865,70.716
60,63,72.473,70.501
80,63,73.004,71.198
80,63,72.792,70.933
