T1(k+1),T2(k+1)
58.887,53.831
58.964,53.764
59.211,55.066
59.351,55.277
59.125,55.643
58.905,55.837
58.581,55.057
58.189,53.832
57.944,53.916
58.01,56.255
57.911,56.629
57.807,56.798
57.544,55.635
57.246,54.421
56.984,53.715
56.868,54.233
56.936,56.251
56.852,56.49
56.786,56.753
56.574,55.771
56.32,54.664
56.133,54.29
56.226,56.115
56.314,57.383
56.415,58.394
56.248,57.059
55.958,55.108
55.786,54.534
55.779,55.328
55.985,57.536
56.228,59.429
56.139,58.283
56.034,57.328
55.868,56.145
55.758,55.683
55.927,57.477
56.048,58.42
56.081,58.437
56.028,57.807
56.002,57.557
56.163,58.817
56.24,59.112
56.303,59.237
56.293,58.8
56.397,59.367
56.367,58.781
56.316,58.196
56.3,58.045
56.47,59.368
56.549,59.654
56.699,60.439
56.703,59.918
56.619,58.891
56.552,58.28
56.561,58.405
56.673,59.297
56.935,61.117
57.024,61.157
57.04,60.662
56.942,59.458
56.946,59.372
57.008,59.76
57.178,60.894
57.204,60.633
57.552,59.973
57.971,60.249
58.293,59.897
58.697,60.445
59.031,60.494
59.483,61.588
59.753,61.168
60.032,61.092
60.188,60.244
60.358,59.854
60.72,61.133
60.951,61.187
60.707,60.378
60.571,60.526
60.428,60.509
60.28,60.389
60.279,61.353
60.182,61.276
59.957,60.19
59.763,59.573
59.611,59.378
59.47,59.26
59.399,59.637
59.355,60.071
59.301,60.558
59.289,61.184
59.256,61.441
59.04,60.189
58.819,59.189
58.643,58.746
58.69,60.076
58.727,60.922
58.626,60.455
58.533,60.145
58.43,59.818
58.305,59.365
58.339,60.227
58.348,60.638
58.295,60.436
58.339,61.029
58.235,60.306
58.29,60.994
58.245,60.717
58.087,59.63
58.156,60.57
58.35,62.199
58.457,62.735
58.247,60.708
58.551,60.214
58.862,60.076
59.284,60.996
59.63,61.25
60.066,62.283
60.3,61.664
60.358,60.023
60.645,60.677
60.896,60.996
61.223,61.916
61.439,61.857
61.555,61.174
61.345,60.94
61.141,60.715
61.103,61.726
60.983,61.766
60.92,62.177
60.687,61.116
60.581,61.255
60.397,60.69
60.331,61.126
60.197,60.859
60.023,60.307
59.865,59.969
59.715,60.007
59.575,60.028
59.441,60.021
59.267,59.644
59.277,60.713
59.217,60.912
59.074,60.368
58.95,60.074
58.826,59.813
58.865,60.832
58.821,60.906
58.876,61.698
59.152,60.98
59.316,59.771
59.63,60.188
59.953,60.701
60.189,60.546
60.405,60.405
60.755,61.446
60.991,61.46
61.166,61.118
61.456,61.853
61.596,61.36
61.691,60.751
61.549,61.238
61.379,61.285
61.318,62.061
61.098,61.338
60.937,61.191
60.707,60.481
60.435,59.555
60.213,59.168
60.258,60.854
60.208,61.287
59.98,60.187
59.922,60.628
59.755,60.355
59.657,60.616
59.461,59.982
59.371,60.271
59.214,59.91
59.168,60.437
59.083,60.469
58.912,59.784
58.863,60.18
58.754,59.957
