U1,U2,T1,T2
40,55,331.05,330.97
40,55,331.05,330.97
40,55,331.05,330.97
40,55,331.05,330.97
40,55,331.06,330.97
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.06,330.98
40,55,331.07,330.98
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.07,330.99
40,55,331.08,330.99
40,55,331.08,330.99
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.08,331
40,55,331.09,331
40,55,331.09,331
40,55,331.09,331
40,55,331.09,331
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
40,55,331.09,331.01
