Y1(C),Y2(C)
50.196,50.684
50.196,50.684
50.196,49.707
50.684,49.707
50.196,49.707
50.196,49.707
49.707,49.218
49.707,49.218
50.196,49.218
50.684,51.173
50.196,49.218
50.196,48.729
49.707,49.707
49.218,49.218
48.24,48.24
48.24,48.24
48.24,47.752
47.752,47.752
47.752,47.752
48.24,48.24
48.24,48.729
47.752,47.752
47.263,47.752
47.263,47.752
47.263,47.263
47.263,48.729
47.752,47.263
47.263,47.263
46.774,47.263
46.774,46.774
46.285,46.774
46.285,46.285
46.285,46.285
46.285,46.285
45.797,46.285
45.797,45.797
46.285,45.797
46.285,45.308
45.797,45.797
45.797,45.308
45.797,45.308
45.797,45.797
46.774,45.797
46.285,45.308
46.285,45.308
46.285,45.797
46.774,45.797
46.774,46.774
46.774,45.308
46.285,45.308
46.285,44.819
46.774,44.819
46.774,45.308
46.774,44.819
46.774,44.819
47.263,44.819
47.263,44.819
47.263,45.308
46.774,45.308
46.774,44.819
47.263,45.797
46.774,45.308
46.774,44.819
47.752,46.285
47.263,45.308
47.263,44.819
47.752,46.285
46.774,45.308
47.263,47.752
47.263,45.308
47.752,45.308
47.263,46.285
47.752,45.797
47.263,46.774
47.263,46.285
47.752,46.285
48.24,47.263
47.752,46.774
48.24,46.774
47.752,46.774
47.752,46.774
48.729,47.263
49.218,47.752
48.24,47.263
48.24,47.752
48.24,47.752
48.24,47.752
48.24,48.24
48.24,47.752
48.729,47.752
48.729,47.752
48.729,47.752
48.729,47.752
48.729,47.752
48.729,47.263
48.729,47.263
48.729,47.263
48.729,47.263
48.729,47.263
48.24,47.263
48.24,46.774
48.24,46.774
47.752,46.774
47.752,46.774
48.24,48.729
47.263,46.774
46.774,46.285
46.774,46.774
46.774,46.285
46.774,47.752
46.774,47.752
46.774,45.797
46.285,47.752
46.774,45.797
46.774,46.774
46.774,45.797
47.263,45.797
47.263,47.263
46.774,45.308
46.285,46.774
47.263,45.308
46.285,44.819
46.285,44.819
46.774,44.819
46.774,45.308
46.774,44.819
46.774,44.819
46.774,44.819
46.774,44.33
46.285,45.308
46.285,44.33
46.774,43.842
46.774,44.819
46.774,44.33
47.263,45.308
46.774,44.819
46.774,44.33
47.263,45.797
46.285,44.33
47.263,45.797
46.774,44.33
46.774,44.33
47.263,44.33
47.752,43.842
46.774,43.842
46.774,43.842
47.263,45.308
46.774,43.842
46.285,43.842
46.285,44.819
45.797,43.842
45.797,43.842
45.797,44.33
45.308,43.842
45.308,43.842
45.797,43.842
45.308,44.33
44.819,43.842
44.819,43.353
44.819,43.842
44.819,43.353
44.819,43.353
