T1,T2
330.33,334.31
330.25,334.35
330.19,334.39
330.13,334.43
330.07,334.47
330.02,334.49
329.98,334.52
329.93,334.54
329.89,334.56
329.86,334.58
329.82,334.59
329.79,334.61
329.76,334.62
329.74,334.63
329.71,334.64
329.69,334.64
329.67,334.65
329.65,334.65
329.63,334.66
329.61,334.66
329.6,334.66
329.58,334.66
329.57,334.66
329.55,334.66
329.54,334.66
329.53,334.66
329.52,334.66
329.51,334.66
329.5,334.66
329.49,334.66
329.48,334.66
329.47,334.65
329.46,334.65
329.46,334.65
329.45,334.65
329.44,334.64
329.44,334.64
329.43,334.64
329.42,334.64
329.42,334.63
329.41,334.63
329.4,334.21
329.37,333.82
329.34,333.44
329.29,333.09
329.23,332.76
329.17,332.45
329.1,332.16
329.02,331.88
328.94,331.61
328.85,331.36
328.77,331.13
328.68,330.9
328.58,330.68
328.49,330.48
328.39,330.28
328.3,330.1
328.2,329.92
328.11,329.75
328.01,329.58
327.91,329.42
327.82,329.27
327.72,329.13
327.63,328.99
327.54,328.86
327.45,328.73
327.36,328.6
327.27,328.48
327.18,328.37
327.1,328.26
327.01,328.15
327.4,328.48
327.78,328.79
328.14,329.1
328.5,329.4
328.84,329.7
329.17,329.99
329.49,330.27
329.8,330.55
330.1,330.82
330.39,331.08
330.67,331.34
330.95,331.58
331.21,331.83
331.47,332.07
331.72,332.3
331.96,332.52
332.2,332.74
332.42,332.96
332.64,333.16
332.86,333.37
333.07,333.56
333.27,333.76
333.46,333.94
333.65,334.12
333.84,334.3
334.01,334.47
334.19,334.64
334.36,334.8
334.52,334.96
334.68,335.12
334.83,335.27
334.98,335.41
335.13,335.55
335.27,335.69
335.4,335.82
335.54,335.95
335.66,336.08
335.79,336.2
335.91,336.32
336.03,336.44
336.14,336.55
336.25,336.66
336.36,336.77
336.47,336.87
336.57,336.97
336.67,337.07
336.76,337.16
336.86,337.25
336.95,337.34
337.03,337.43
337.12,337.52
337.2,337.6
337.28,337.68
337.36,337.75
337.44,337.83
337.51,337.9
337.58,337.97
337.65,338.04
337.72,338.11
337.78,338.17
337.84,337.82
337.88,337.49
337.9,337.18
337.92,336.89
337.92,336.62
337.92,336.37
337.9,336.13
337.88,335.91
337.85,335.7
337.82,335.51
337.78,335.32
337.74,335.15
337.69,334.98
337.65,334.82
337.6,334.67
337.54,334.53
337.49,334.4
337.44,334.27
337.38,334.15
337.32,334.03
337.27,333.92
337.21,333.81
337.16,333.71
337.1,333.62
337.04,333.52
336.99,333.43
336.93,333.35
336.88,333.27
336.82,333.19
336.77,333.11
336.25,333.03
335.77,332.94
335.31,332.83
334.87,332.72
334.46,332.59
334.07,332.47
333.7,332.33
333.35,332.2
333.02,332.05
332.7,331.91
332.4,331.77
332.11,331.62
331.83,331.47
331.56,331.33
331.31,331.18
331.07,331.03
330.84,330.89
330.61,330.74
330.4,330.6
330.19,330.46
329.99,330.32
329.8,330.18
329.62,330.05
329.44,329.91
329.27,329.78
329.1,329.65
328.95,329.53
328.79,329.4
328.64,329.28
328.5,329.16
328.37,329.47
328.25,329.75
328.16,330.01
328.07,330.25
328,330.47
327.94,330.68
327.89,330.87
327.86,331.05
327.82,331.22
327.8,331.37
327.78,331.52
327.77,331.66
327.77,331.78
327.76,331.9
327.77,332.02
327.77,332.12
327.78,332.22
327.79,332.32
327.81,332.4
327.82,332.49
327.84,332.57
327.86,332.64
327.88,332.71
327.9,332.78
327.93,332.84
327.95,332.9
327.98,332.96
328,333.01
328.03,333.06
328.05,333.11
328.54,333.17
329.01,333.24
329.44,333.32
329.86,333.4
330.25,333.5
330.62,333.6
330.97,333.71
331.31,333.82
331.63,333.94
331.93,334.06
332.22,334.19
332.49,334.31
332.75,334.44
333,334.56
333.24,334.69
333.47,334.82
333.69,334.95
333.9,335.07
334.1,335.2
334.29,335.33
334.48,335.45
334.65,335.57
334.83,335.69
334.99,335.81
335.15,335.93
335.3,336.04
335.45,336.15
335.59,336.27
335.72,336.37
335.85,336.48
335.52,336.58
335.2,336.65
334.91,336.72
334.64,336.77
334.39,336.8
334.15,336.83
333.93,336.84
333.73,336.85
333.53,336.85
333.35,336.85
333.18,336.84
333.02,336.82
332.87,336.8
332.73,336.77
332.6,336.75
332.47,336.71
332.35,336.68
332.24,336.65
332.13,336.61
332.02,336.57
331.93,336.53
331.83,336.5
331.75,336.46
331.66,336.41
331.58,336.37
331.5,336.33
331.43,336.29
331.36,336.25
331.29,336.21
331.22,336.17
331.16,336.13
331.1,336.09
331.04,336.05
330.99,336.02
330.93,335.98
330.88,335.94
330.83,335.9
330.79,335.87
330.74,335.83
330.69,335.8
330.65,335.76
330.61,335.73
330.57,335.7
330.53,335.67
330.49,335.64
330.46,335.61
330.42,335.58
330.39,335.55
330.35,335.52
330.32,335.49
330.29,335.47
330.26,335.44
330.23,335.41
330.2,335.39
330.18,335.37
330.15,335.34
330.13,335.32
330.1,335.3
330.08,335.27
330.05,335.25
330.02,334.81
329.98,334.4
329.92,334.01
329.86,333.65
329.79,333.3
329.71,332.98
329.62,332.67
329.53,332.37
329.44,332.1
329.34,331.83
329.24,331.58
329.13,331.34
329.03,331.11
328.92,330.9
328.81,330.69
328.7,330.49
328.6,330.3
328.49,330.12
328.38,329.95
328.28,329.78
328.17,329.62
328.07,329.46
327.96,329.32
327.86,329.17
327.76,329.04
327.66,328.9
327.57,328.78
327.47,328.65
327.38,328.53
327.28,328.42
327.19,328.31
327.11,328.2
327.02,328.1
326.93,328
326.85,327.9
326.77,327.81
326.69,327.72
326.61,327.63
326.54,327.55
326.46,327.46
326.39,327.38
326.32,327.31
326.25,327.23
326.19,327.16
326.12,327.09
326.06,327.02
325.99,326.95
325.93,326.89
325.87,326.83
325.82,326.77
325.76,326.71
325.7,326.65
325.65,326.6
325.6,326.54
325.55,326.49
325.5,326.44
325.45,326.39
325.4,326.34
325.36,326.3
325.31,326.25
325.27,326.21
325.23,326.16
325.19,326.12
325.15,326.08
325.11,326.04
325.07,326
325.04,325.97
325,325.93
324.96,325.9
324.93,325.86
324.9,325.83
324.87,325.8
324.83,325.76
324.8,325.73
324.77,325.7
324.75,325.68
324.72,325.65
324.69,325.62
324.66,325.59
324.64,325.57
324.61,325.54
324.59,325.52
324.56,325.5
324.54,325.47
324.52,325.45
324.5,325.43
324.48,325.41
324.46,325.39
324.43,325.37
324.42,325.35
324.4,325.33
324.38,325.31
324.36,325.29
324.34,325.27
324.32,325.26
324.31,325.24
324.29,325.22
324.28,325.21
324.26,325.19
324.25,325.18
324.23,325.16
324.22,325.15
324.2,325.14
324.19,325.12
324.18,325.11
324.16,325.1
324.15,325.09
324.14,325.07
324.13,325.06
324.12,325.05
324.11,325.04
324.1,325.03
324.09,325.02
324.08,325.01
324.07,325
324.06,324.99
324.05,324.98
324.04,324.97
324.03,324.96
324.02,324.95
324.48,324.95
324.91,324.97
325.31,324.99
325.7,325.03
326.06,325.08
326.4,325.13
326.72,325.2
327.03,325.27
327.32,325.35
327.59,325.43
327.46,325.23
327.33,325.03
327.2,324.85
327.08,324.67
326.95,324.49
326.83,324.33
326.71,324.17
326.59,324.01
326.48,323.86
326.36,323.71
326.25,323.57
326.14,323.44
326.03,323.31
325.93,323.18
325.83,323.06
325.73,322.94
325.63,322.82
325.53,322.71
325.44,322.6
325.35,322.5
325.26,322.82
325.19,323.11
325.14,323.39
325.1,323.65
325.06,323.89
325.04,324.12
325.03,324.33
325.02,324.53
325.02,324.72
325.03,324.9
325.04,325.07
325.05,325.22
325.07,325.37
325.1,325.51
325.12,325.65
325.15,325.77
325.18,325.89
325.22,326.01
325.25,326.12
325.29,326.22
325.32,326.32
325.36,326.41
325.4,326.5
325.44,326.58
325.48,326.67
325.52,326.74
325.56,326.82
325.6,326.89
325.64,326.96
325.68,327.02
325.71,326.67
325.73,326.33
325.74,326.02
325.74,325.72
325.73,325.45
325.71,325.18
325.68,324.94
325.65,324.7
325.61,324.48
325.56,324.27
325.52,324.08
325.47,323.89
325.41,323.71
325.36,323.54
325.3,323.38
325.24,323.22
325.18,323.08
325.12,322.94
325.05,322.8
324.99,322.67
324.93,322.55
324.86,322.43
324.8,322.32
324.74,322.21
324.68,322.1
324.61,322
324.55,321.91
324.49,321.82
324.43,321.73
324.37,321.64
323.85,321.97
323.38,322.26
322.93,322.52
322.53,322.76
322.15,322.96
321.8,323.15
321.48,323.31
321.18,323.45
320.9,323.58
320.65,323.69
320.41,323.78
320.18,323.86
319.98,323.93
319.78,323.99
319.6,324.05
319.43,324.09
319.28,324.12
319.13,324.15
318.99,324.17
318.86,324.19
318.74,324.2
318.62,324.21
318.51,324.21
318.41,324.21
318.32,324.21
318.23,324.2
318.14,324.2
318.06,324.19
317.98,324.17
317.91,324.16
317.83,323.73
317.75,323.31
317.65,322.93
317.55,322.56
317.45,322.2
317.33,321.87
317.22,321.55
317.1,321.25
316.98,320.96
316.86,320.68
316.73,320.42
316.6,320.16
316.48,319.92
316.35,319.69
316.22,319.46
316.1,319.25
315.97,319.04
315.85,318.85
315.72,318.66
315.6,318.47
315.48,318.3
315.36,318.13
315.24,317.96
315.12,317.81
315.01,317.65
314.89,317.51
314.78,317.36
314.67,317.22
314.56,317.09
314.46,316.96
314.82,316.84
315.16,316.74
315.48,316.66
315.77,316.59
316.05,316.53
316.31,316.48
316.56,316.45
316.79,316.42
317.01,316.4
317.21,316.39
317.41,316.38
317.59,316.39
317.76,316.39
317.92,316.4
318.07,316.42
318.22,316.44
318.36,316.46
318.49,316.49
318.61,316.51
318.73,316.54
318.84,316.58
318.95,316.61
319.05,316.65
319.15,316.68
319.24,316.72
319.33,316.76
319.41,316.79
319.49,316.83
319.57,316.87
319.64,316.91
319.26,317.36
318.9,317.78
318.58,318.16
318.29,318.51
318.03,318.83
317.79,319.12
317.57,319.39
317.37,319.64
317.19,319.87
317.03,320.08
316.89,320.28
316.75,320.46
316.63,320.62
316.53,320.77
316.43,320.91
316.34,321.04
316.26,321.16
316.19,321.27
316.13,321.37
316.07,321.47
316.02,321.55
315.98,321.63
315.94,321.71
315.9,321.78
315.87,321.84
315.84,321.9
315.82,321.95
315.8,322.01
315.78,322.05
315.76,322.1
316.21,322.15
316.64,322.21
317.05,322.27
317.44,322.35
317.8,322.43
318.15,322.52
318.48,322.62
318.8,322.72
319.1,322.82
319.39,322.93
319.66,323.03
319.93,323.15
320.18,323.26
320.42,323.37
320.65,323.49
320.87,323.6
321.08,323.71
321.28,323.83
321.48,323.94
321.66,324.06
321.84,324.17
322.02,324.28
322.18,324.39
322.34,324.5
322.5,324.61
322.65,324.71
322.79,324.82
322.93,324.92
323.06,325.02
323.19,325.12
323.31,324.8
323.41,324.5
323.5,324.22
323.57,323.96
323.63,323.72
323.68,323.49
323.72,323.28
323.75,323.08
323.77,322.89
323.78,322.72
323.79,322.56
323.8,322.4
323.79,322.26
323.79,322.12
323.78,321.99
323.76,321.87
323.75,321.75
323.73,321.64
323.71,321.54
323.68,321.44
323.66,321.35
323.63,321.26
323.61,321.18
323.58,321.1
323.55,321.02
323.52,320.95
323.49,320.88
323.46,320.81
323.43,320.75
323.4,320.68
322.91,321.04
322.45,321.35
322.04,321.64
321.66,321.9
321.3,322.13
320.98,322.33
320.68,322.52
320.4,322.68
320.14,322.83
319.91,322.96
319.69,323.07
319.48,323.17
319.29,323.26
319.12,323.34
318.95,323.41
318.8,323.47
318.66,323.52
318.53,323.57
318.41,323.61
318.29,323.64
318.18,323.66
318.08,323.69
317.99,323.7
317.9,323.72
317.82,323.73
317.74,323.74
317.67,323.74
317.6,323.74
317.53,323.74
317.47,323.74
317.88,323.75
318.26,323.76
318.63,323.79
318.97,323.82
319.3,323.87
319.61,323.92
319.9,323.98
320.18,324.04
320.44,324.11
320.7,324.18
320.94,324.25
321.16,324.33
321.38,324.41
321.59,324.5
321.79,324.58
321.98,324.67
322.16,324.75
322.33,324.84
322.5,324.93
322.66,325.01
322.81,325.1
322.95,325.19
323.1,325.27
323.23,325.36
323.36,325.44
323.49,325.52
323.61,325.61
323.72,325.69
323.84,325.77
323.94,325.85
324.05,325.93
324.15,326
324.25,326.08
324.34,326.15
324.43,326.22
324.52,326.29
324.6,326.36
324.68,326.43
324.76,326.5
324.84,326.56
324.92,326.63
324.99,326.69
325.06,326.75
325.13,326.81
325.19,326.87
325.25,326.92
325.32,326.98
325.38,327.03
325.43,327.08
325.49,327.14
325.55,327.19
325.6,327.23
325.65,327.28
325.7,327.33
325.75,327.37
325.8,327.42
325.84,327.46
325.89,327.5
325.93,327.54
325.97,327.58
325.55,327.61
325.15,327.63
324.77,327.63
324.42,327.62
324.09,327.6
323.77,327.57
323.48,327.53
323.19,327.49
322.93,327.44
322.68,327.38
322.44,327.32
322.21,327.26
321.99,327.19
321.79,327.12
321.59,327.05
321.4,326.98
321.23,326.9
321.05,326.82
320.89,326.75
320.73,326.67
320.58,326.59
320.44,326.51
320.3,326.44
320.17,326.36
320.04,326.28
319.92,326.21
319.8,326.13
319.69,326.06
319.58,325.99
319.47,325.91
319.83,325.43
320.15,324.99
320.44,324.58
320.7,324.2
320.93,323.86
321.14,323.54
321.33,323.25
321.49,322.98
321.64,322.73
321.78,322.5
321.89,322.28
322,322.09
322.09,321.9
322.17,321.74
322.24,321.58
322.31,321.43
322.36,321.3
322.41,321.17
322.45,321.05
322.49,320.94
322.51,320.84
322.54,320.75
322.56,320.66
322.58,320.58
322.59,320.5
322.6,320.42
322.61,320.36
322.61,320.29
322.61,320.23
322.61,320.17
322.62,320.54
322.64,320.88
322.66,321.21
322.7,321.52
322.74,321.81
322.79,322.08
322.84,322.35
322.9,322.59
322.96,322.83
323.03,323.05
323.1,323.26
323.17,323.47
323.24,323.66
323.32,323.84
323.4,324.02
323.48,324.19
323.56,324.35
323.64,324.5
323.72,324.65
323.8,324.79
323.87,324.93
323.95,325.06
324.03,325.18
324.11,325.3
324.19,325.42
324.26,325.53
324.34,325.63
324.41,325.74
324.49,325.83
324.56,325.93
324.62,325.6
324.67,325.3
324.71,325.01
324.74,324.74
324.75,324.49
324.76,324.25
324.76,324.03
324.75,323.82
324.74,323.63
