H1,H2,H3,H4
22.112,20.488,9.2093,7.5294
21.944,20.162,8.6421,7.2678
21.583,20.006,8.38,6.8222
21.52,20.195,8.6633,6.9856
21.233,20.069,8.3104,6.7986
21,19.792,7.9069,6.7327
20.962,19.709,8.0713,6.8257
21.05,19.773,8.3516,7.0731
21.135,19.923,8.5296,7.1473
21.13,19.971,8.6543,7.1984
21.374,19.958,8.8008,7.3466
21.491,20.164,9.0295,7.4211
21.677,20.233,9.0181,7.5809
21.717,20.356,9.1435,7.5338
21.774,20.534,9.1844,7.3974
21.491,20.285,8.7591,7.1163
21.603,20.341,8.8022,7.1335
21.448,20.016,8.3497,6.9065
21.042,19.693,8.0487,6.6056
21.328,19.961,8.5307,6.5712
21.134,19.568,8.3907,6.297
21.035,19.538,8.7328,6.5137
21.011,19.593,8.9067,6.5201
21.121,19.603,9.036,6.7117
21.272,19.647,9.0408,6.9906
21.429,19.658,9.1686,7.0549
21.666,19.82,9.3385,7.2251
21.743,19.973,9.4009,7.345
21.819,20.18,9.349,7.2904
21.499,19.983,8.9255,7.1054
21.181,19.714,8.5293,6.8017
20.88,19.397,8.3203,6.5893
21.098,19.594,8.4555,6.6798
20.83,19.153,8.2041,6.3817
20.323,18.844,8.0851,6.1881
20.099,18.544,7.7354,6.0214
20.304,18.586,7.8853,6.3011
20.488,18.831,8.1651,6.3218
20.753,18.82,8.4415,6.6125
20.926,18.747,8.6349,6.8044
21.003,19.069,8.9566,6.8418
21.161,19.18,9.0322,7.0178
21.082,19.368,8.9908,7.3464
20.863,19.141,8.4168,6.9418
21,19.438,8.6108,6.9711
21.075,19.464,8.8428,7.0614
20.727,19.24,8.4711,6.7604
20.329,19.159,8.0769,6.5712
20.465,19.321,8.2909,6.7665
20.654,19.662,8.4015,6.8226
20.331,19.412,8.0821,6.6896
20.422,19.548,8.2926,6.7946
20.574,19.752,8.2412,6.9366
20.691,19.727,8.5185,7.1433
20.751,19.755,8.665,7.2111
21.046,19.908,8.7507,7.3618
21.235,20.013,8.769,7.3421
21.056,19.654,8.5439,6.9155
20.691,19.13,8.1173,6.6969
20.687,19.101,8.1846,6.8287
20.448,18.589,8.1418,6.7249
20.588,18.576,8.274,6.8815
20.214,18.284,7.9887,6.7587
20.347,18.575,8.3303,6.7719
19.879,18.192,8.1806,6.4973
19.751,18.138,8.0028,6.3867
19.844,18.337,8.2525,6.584
19.987,18.469,8.4712,6.8472
20.343,18.818,8.5623,6.9882
20.447,19.037,8.5941,6.9423
20.595,19.274,8.7774,7.1358
20.303,19.078,8.4891,6.92
20.657,19.153,8.5877,7.1096
20.396,18.894,8.2305,6.6563
20.003,18.56,7.8334,6.3564
19.6,18.286,7.8447,6.223
19.526,17.924,7.6649,5.9185
19.458,17.691,7.6831,5.8828
19.37,17.474,7.3955,5.8011
19.403,17.59,7.6575,5.9704
19.132,17.358,7.5282,5.8495
19.312,17.55,7.8765,6.2111
19.566,17.786,8.0308,6.3822
19.723,18.09,8.0744,6.5287
19.828,18.295,8.3589,6.7428
19.573,17.849,8.2764,6.4971
19.489,17.689,8.0027,6.5413
19.509,17.496,7.8243,6.3232
19.728,17.788,8.1089,6.3424
19.908,18.173,8.2189,6.5465
20.179,18.398,8.5117,6.6882
20.337,18.477,8.7703,6.8497
20.743,18.696,9.0785,7.1361
20.632,18.849,8.7792,6.9163
20.265,18.618,8.3188,6.7018
19.938,18.427,8.0503,6.5804
20.25,18.661,8.4329,6.6242
20.479,18.827,8.5841,6.7663
20.703,19.041,8.9387,6.8987
20.298,18.716,8.4533,6.616
20.509,18.804,8.8014,6.8099
20.783,19.026,9.0379,6.7577
20.489,18.668,8.679,6.6297
20.583,18.949,8.8292,6.648
20.766,18.988,8.836,6.827
20.844,19.341,9.031,7.0247
21.035,19.512,9.2107,7.3019
20.826,19.136,8.9386,6.9197
21.153,19.369,9.0221,7.1091
21.336,19.471,9.1734,7.2472
21.011,19.311,8.766,7.0835
21.325,19.384,8.8169,7.1783
21.532,19.647,9.0951,7.3215
21.255,19.446,8.7532,6.9451
21.011,19.143,8.496,6.809
21.08,19.406,8.6096,6.8271
20.856,19.069,8.5086,6.7151
20.584,18.778,8.2399,6.6145
20.78,18.916,8.3691,6.6481
20.804,19.196,8.4361,6.8214
21.091,19.141,8.5583,6.8604
20.818,18.794,8.3407,6.6012
20.311,18.354,7.916,6.5166
20.481,18.577,8.1906,6.7141
20.311,18.336,8.0098,6.516
20.073,18.184,7.8768,6.3552
20.354,18.251,8.1507,6.6072
20.197,17.941,7.9763,6.3658
20.248,18.167,8.2012,6.4385
19.745,18.08,7.8806,6.3295
19.666,17.737,7.5132,6.3477
19.847,17.968,7.7576,6.4404
19.565,17.789,7.6522,6.0744
19.694,18.216,7.7966,6.3098
19.713,18.582,7.7954,6.5437
19.47,18.248,7.7109,6.3971
19.519,18.435,7.9883,6.5232
19.213,18.198,7.8338,6.3489
18.985,18.011,7.6581,6.3805
19.292,18.313,8.0464,6.445
19.139,18.068,7.7561,6.2988
18.795,17.878,7.6599,6.0615
18.759,17.585,7.6102,5.7153
18.576,17.273,7.2834,5.6945
18.992,17.339,7.5984,6.0382
18.658,17.213,7.4837,6.0327
18.389,16.936,7.2294,6.1844
18.118,16.77,7.1982,5.9319
18.376,17.123,7.5637,6.1815
18.127,17.029,7.3124,6.0603
17.876,16.952,7.1253,6.0202
17.488,16.914,7.0074,5.8482
17.717,17.198,7.2787,6.1499
17.629,17.099,7.3023,6.0573
17.509,16.891,7.1849,6.0397
17.826,17.258,7.6663,6.2118
18.171,17.599,7.9203,6.3869
18.538,17.697,8.1154,6.5881
18.386,17.628,7.9047,6.2639
18.206,17.35,7.7772,6.0524
18.586,17.445,8.0394,6.3428
18.863,17.766,8.129,6.5401
18.751,17.638,7.7773,6.344
18.49,17.537,7.5269,6.2674
18.743,17.693,7.7146,6.4372
19.082,17.883,7.9587,6.6091
18.814,17.579,7.6993,6.5259
18.646,17.369,7.6364,6.174
18.888,17.483,7.8123,6.3042
18.704,17.307,7.6421,6.1551
18.928,17.49,7.7654,6.4155
18.97,17.615,7.7969,6.4808
18.77,17.633,7.5685,6.263
19.152,17.845,7.831,6.3707
19.016,17.562,7.621,6.4281
19.202,17.651,8.0007,6.6663
18.949,17.592,7.777,6.5117
19.223,17.921,8.1953,6.6158
19.019,17.96,8.1034,6.4541
19.247,18.362,8.2658,6.5906
19.093,18.119,8.0475,6.5135
19.485,18.303,8.2032,6.6231
19.04,17.993,7.8727,6.3191
18.914,17.731,7.6011,6.1494
18.609,17.609,7.5588,6.0491
18.963,17.794,8.0021,6.3878
18.56,17.677,7.7383,6.0794
18.388,17.434,7.6004,6.0116
18.246,17.248,7.5332,5.8332
18.063,17.097,7.4026,5.6802
17.906,16.859,7.3282,5.5113
17.627,16.691,7.2025,5.2878
17.4,16.49,7.0244,5.2414
17.208,16.089,7.0743,5.255
17.162,15.849,7.1445,5.1024
17.034,15.635,6.9167,5.1408
17.104,15.579,6.8665,5.2693
17.457,15.875,7.1147,5.6035
17.601,16.172,7.4646,5.8357
17.477,16.061,7.4112,5.6904
17.341,15.931,7.3117,5.5343
17.719,16.27,7.6673,5.8913
18.066,16.595,7.8464,5.919
18.391,16.754,7.8286,6.0047
18.633,16.896,7.9734,6.3026
18.933,17.342,8.1203,6.5018
19.08,17.507,8.3498,6.8343
19.444,17.857,8.3671,6.9103
19.579,18.183,8.5353,7.0462
19.784,18.446,8.7829,7.0877
20.049,18.698,8.7978,7.1321
19.891,18.641,8.3513,7.0165
20.102,18.74,8.5074,7.211
20.054,18.57,8.272,6.8956
20.408,18.775,8.4339,6.9709
20.21,18.697,8.0052,6.6204
20.363,19.01,8.2109,6.6558
20.435,19.185,8.396,6.7451
20.556,19.308,8.5613,6.9856
20.589,19.252,8.6871,7.1554
20.736,19.411,8.8347,7.1667
20.876,19.74,9.099,7.2579
21.253,20.024,9.1748,7.356
21.501,20.06,9.2501,7.62
21.663,20.379,9.3877,7.5764
21.354,19.799,9.1068,7.3005
21.081,19.609,8.648,6.969
20.852,19.255,8.3848,6.8345
20.763,19.01,8.0342,6.5304
20.45,18.64,7.7707,6.3264
20.192,18.277,7.4658,5.9741
20.341,18.506,7.5591,6.2323
20.474,18.717,7.8829,6.3371
20.676,18.99,8.122,6.5247
20.912,19.16,8.2575,6.543
21.019,19.283,8.4453,6.8163
21.1,19.55,8.5435,6.9207
21.239,19.716,8.5505,6.7852
21.442,19.775,8.6734,6.936
21.224,19.46,8.2868,6.5109
21.244,19.63,8.3888,6.7074
21.419,19.627,8.3744,6.9798
21.466,19.687,8.3567,7.0542
21.49,19.861,8.5822,7.0106
21.625,19.876,8.5644,7.0046
21.348,19.583,8.4063,6.753
21.366,19.593,8.5381,6.8386
21.305,19.778,8.6073,6.9417
21.403,19.875,8.5248,7.2558
21.542,19.938,8.5887,7.3154
21.627,20.314,8.554,7.4081
21.849,20.459,8.7482,7.4641
21.88,20.481,8.7735,7.4735
21.588,20.253,8.5422,7.2762
21.14,19.93,8.2594,6.8253
21.093,19.923,8.2471,6.9406
21.242,20.173,8.3556,7.0302
21.183,20.297,8.5145,7.2593
21.157,20.288,8.754,7.1791
20.796,19.938,8.3105,6.7622
20.331,19.593,8.078,6.4551
20.527,19.675,8.1691,6.5663
