U1,U2,H1,H2,H3,H4
137.46,138.6,19.479,18.026,7.8883,6.3707
167.46,172.6,19.249,17.807,7.6747,6.2112
137.46,138.6,19.455,18.007,7.927,6.4006
167.46,172.6,19.233,17.793,7.7085,6.2372
137.46,138.6,19.444,17.998,7.9565,6.4232
167.46,172.6,19.226,17.788,7.7342,6.2568
137.46,138.6,19.441,17.995,7.9789,6.4402
167.46,172.6,19.227,17.788,7.7538,6.2716
137.46,138.6,19.444,17.997,7.996,6.4531
167.46,172.6,19.231,17.791,7.7687,6.2828
167.46,172.6,19.449,18.002,8.009,6.4628
137.46,138.6,19.674,18.214,8.2191,6.6195
137.46,138.6,19.463,18.007,7.9636,6.4276
137.46,138.6,19.245,17.796,7.7404,6.2607
137.46,138.6,19.022,17.586,7.5458,6.1157
137.46,138.6,18.8,17.377,7.3764,5.99
137.46,138.6,18.58,17.174,7.2291,5.8811
137.46,138.6,18.366,16.976,7.1014,5.787
137.46,138.6,18.158,16.787,6.9906,5.7058
137.46,138.6,17.96,16.606,6.8947,5.6357
137.46,138.6,17.771,16.434,6.8118,5.5753
137.46,138.6,17.592,16.271,6.7402,5.5233
137.46,138.6,17.423,16.119,6.6783,5.4785
137.46,138.6,17.266,15.976,6.6249,5.44
167.46,172.6,17.119,15.843,6.5789,5.4069
137.46,138.6,17.419,16.137,6.9756,5.7048
167.46,172.6,17.3,16.022,6.8817,5.6349
167.46,172.6,17.618,16.328,7.2375,5.9014
167.46,172.6,17.946,16.637,7.5463,6.1318
167.46,172.6,18.276,16.944,7.815,6.3317
167.46,172.6,18.602,17.244,8.0495,6.5053
167.46,172.6,18.921,17.536,8.2545,6.6566
167.46,172.6,19.23,17.818,8.434,6.7884
167.46,172.6,19.527,18.087,8.5914,6.9036
167.46,172.6,19.81,18.344,8.7296,7.0043
167.46,172.6,20.08,18.589,8.8511,7.0924
167.46,172.6,20.336,18.82,8.958,7.1696
167.46,172.6,20.578,19.038,9.0521,7.2372
137.46,138.6,20.805,19.244,9.1349,7.2965
137.46,138.6,20.583,19.019,8.7673,7.0191
137.46,138.6,20.343,18.783,8.444,6.7763
167.46,172.6,20.089,18.54,8.1605,6.5643
167.46,172.6,20.264,18.712,8.3516,6.7079
167.46,172.6,20.444,18.886,8.5192,6.8333
167.46,172.6,20.624,19.058,8.6662,6.9428
167.46,172.6,20.803,19.227,8.7953,7.0386
167.46,172.6,20.978,19.391,8.9089,7.1224
167.46,172.6,21.148,19.55,9.0088,7.1959
167.46,172.6,21.313,19.702,9.0969,7.2603
167.46,172.6,21.47,19.848,9.1744,7.3168
167.46,172.6,21.621,19.986,9.2428,7.3663
167.46,172.6,21.764,20.118,9.3032,7.4099
137.46,138.6,21.899,20.242,9.3564,7.4481
167.46,172.6,21.592,19.942,8.9624,7.1521
167.46,172.6,21.706,20.053,9.0559,7.2219
137.46,138.6,21.82,20.161,9.1384,7.2831
167.46,172.6,21.496,19.849,8.7703,7.0073
167.46,172.6,21.598,19.951,8.8869,7.0951
167.46,172.6,21.704,20.054,8.9894,7.1719
167.46,172.6,21.81,20.157,9.0798,7.2392
167.46,172.6,21.916,20.258,9.1594,7.2983
167.46,172.6,22.02,20.356,9.2296,7.3501
167.46,172.6,22.122,20.452,9.2915,7.3957
167.46,172.6,22.22,20.544,9.3461,7.4356
167.46,172.6,22.315,20.632,9.3943,7.4707
167.46,172.6,22.406,20.716,9.4369,7.5016
137.46,138.6,22.493,20.797,9.4745,7.5287
137.46,138.6,22.14,20.454,9.0665,7.2228
167.46,172.6,21.776,20.108,8.707,6.9546
137.46,138.6,21.843,20.18,8.8313,7.0489
137.46,138.6,21.481,19.838,8.5002,6.8023
167.46,172.6,21.118,19.498,8.2097,6.587
167.46,172.6,21.193,19.583,8.3948,6.7277
167.46,172.6,21.283,19.677,8.557,6.8506
167.46,172.6,21.382,19.776,8.6994,6.9579
167.46,172.6,21.488,19.879,8.8245,7.0518
167.46,172.6,21.597,19.984,8.9346,7.134
167.46,172.6,21.708,20.089,9.0315,7.206
167.46,172.6,21.818,20.192,9.1168,7.2692
167.46,172.6,21.928,20.293,9.192,7.3246
137.46,138.6,22.034,20.392,9.2583,7.3732
167.46,172.6,21.703,20.069,8.8759,7.0863
137.46,138.6,21.796,20.16,8.9798,7.1643
137.46,138.6,21.457,19.834,8.6308,6.9033
167.46,172.6,21.111,19.507,8.3242,6.6751
137.46,138.6,21.201,19.601,8.4951,6.8046
167.46,172.6,20.865,19.284,8.2053,6.589
167.46,172.6,20.966,19.389,8.3909,6.7295
167.46,172.6,21.078,19.501,8.5536,6.8521
167.46,172.6,21.197,19.617,8.6964,6.9592
167.46,172.6,21.321,19.735,8.8219,7.053
167.46,172.6,21.447,19.854,8.9323,7.135
167.46,172.6,21.573,19.97,9.0294,7.2069
167.46,172.6,21.696,20.085,9.115,7.27
137.46,138.6,21.818,20.196,9.1904,7.3253
137.46,138.6,21.5,19.886,8.8161,7.0443
137.46,138.6,21.171,19.571,8.4869,6.7983
167.46,172.6,20.838,19.256,8.1981,6.5835
137.46,138.6,20.94,19.363,8.3846,6.7247
137.46,138.6,20.618,19.058,8.1084,6.5193
137.46,138.6,20.297,18.757,7.8669,6.3404
167.46,172.6,19.979,18.463,7.656,6.1849
167.46,172.6,20.106,18.597,7.9107,6.3777
167.46,172.6,20.249,18.741,8.1331,6.5454
167.46,172.6,20.405,18.892,8.3276,6.6915
167.46,172.6,20.567,19.047,8.4981,6.8189
167.46,172.6,20.732,19.202,8.6477,6.9302
167.46,172.6,20.898,19.356,8.7791,7.0276
137.46,138.6,21.061,19.506,8.8946,7.1128
167.46,172.6,20.786,19.235,8.5559,6.8582
167.46,172.6,20.936,19.377,8.6984,6.9646
137.46,138.6,21.086,19.518,8.8237,7.0577
137.46,138.6,20.801,19.24,8.4935,6.81
167.46,172.6,20.506,18.957,8.2039,6.5937
167.46,172.6,20.643,19.094,8.3896,6.7336
137.46,138.6,20.788,19.234,8.5525,6.8557
167.46,172.6,20.501,18.958,8.2556,6.6335
167.46,172.6,20.645,19.099,8.4349,6.7683
167.46,172.6,20.795,19.243,8.5922,6.886
167.46,172.6,20.948,19.388,8.7303,6.9889
167.46,172.6,21.101,19.531,8.8517,7.0789
167.46,172.6,21.252,19.671,8.9585,7.1578
137.46,138.6,21.4,19.808,9.0525,7.2269
137.46,138.6,21.109,19.522,8.6948,6.9581
167.46,172.6,20.806,19.231,8.3804,6.723
137.46,138.6,20.933,19.357,8.5443,6.8464
167.46,172.6,20.631,19.068,8.2484,6.6255
137.46,138.6,20.76,19.198,8.4287,6.7613
167.46,172.6,20.462,18.913,8.147,6.5512
137.46,138.6,20.597,19.049,8.3399,6.6965
137.46,138.6,20.305,18.771,8.0693,6.4947
167.46,172.6,20.011,18.494,7.8327,6.319
167.46,172.6,20.155,18.641,8.0649,6.4943
167.46,172.6,20.312,18.796,8.268,6.6469
167.46,172.6,20.477,18.954,8.4458,6.78
167.46,172.6,20.645,19.113,8.6018,6.8963
137.46,138.6,20.815,19.271,8.7387,6.9979
167.46,172.6,20.547,19.009,8.419,6.7577
137.46,138.6,20.705,19.16,8.5782,6.8768
137.46,138.6,20.43,18.893,8.2781,6.652
137.46,138.6,20.148,18.625,8.0152,6.4559
137.46,138.6,19.863,18.358,7.7855,6.2852
137.46,138.6,19.581,18.095,7.585,6.137
137.46,138.6,19.304,17.84,7.4105,6.0084
167.46,172.6,19.035,17.593,7.2588,5.8971
137.46,138.6,19.212,17.774,7.5648,6.1281
167.46,172.6,18.972,17.549,7.3929,6.0008
167.46,172.6,19.172,17.748,7.6814,6.218
167.46,172.6,19.386,17.955,7.9329,6.4065
167.46,172.6,19.608,18.165,8.1525,6.5704
137.46,138.6,19.832,18.375,8.3446,6.7133
137.46,138.6,19.62,18.164,8.0735,6.5093
137.46,138.6,19.398,17.948,7.8363,6.3317
167.46,172.6,19.171,17.731,7.6294,6.1774
167.46,172.6,19.379,17.935,7.8875,6.3712
167.46,172.6,19.596,18.142,8.1128,6.5397
167.46,172.6,19.817,18.35,8.3099,6.6865
167.46,172.6,20.038,18.556,8.4825,6.8146
137.46,138.6,20.256,18.757,8.634,6.9264
137.46,138.6,20.034,18.535,8.3271,6.6953
137.46,138.6,19.798,18.306,8.0581,6.4937
167.46,172.6,19.556,18.075,7.8229,6.3181
167.46,172.6,19.746,18.262,8.0564,6.4935
167.46,172.6,19.945,18.453,8.2605,6.6463
137.46,138.6,20.147,18.644,8.4393,6.7794
167.46,172.6,19.913,18.415,8.1563,6.567
167.46,172.6,20.106,18.6,8.348,6.7103
137.46,138.6,20.301,18.785,8.516,6.8354
167.46,172.6,20.06,18.549,8.2235,6.6158
167.46,172.6,20.246,18.727,8.4069,6.7529
167.46,172.6,20.434,18.904,8.5676,6.8725
167.46,172.6,20.621,19.079,8.7087,6.9771
137.46,138.6,20.805,19.25,8.8327,7.0686
167.46,172.6,20.549,18.998,8.5015,6.8196
167.46,172.6,20.716,19.158,8.6507,6.9308
137.46,138.6,20.884,19.316,8.7817,7.0281
167.46,172.6,20.614,19.052,8.4567,6.7842
167.46,172.6,20.769,19.203,8.6113,6.8999
137.46,138.6,20.927,19.353,8.7471,7.001
137.46,138.6,20.649,19.083,8.4263,6.7605
167.46,172.6,20.361,18.809,8.145,6.5505
137.46,138.6,20.507,18.955,8.3381,6.6959
137.46,138.6,20.224,18.685,8.0677,6.4942
167.46,172.6,19.938,18.417,7.8313,6.3185
167.46,172.6,20.09,18.572,8.0637,6.4939
167.46,172.6,20.253,18.733,8.2669,6.6466
137.46,138.6,20.424,18.897,8.4449,6.7797
137.46,138.6,20.162,18.644,8.1612,6.5673
167.46,172.6,19.894,18.389,7.913,6.3821
137.46,138.6,20.06,18.554,8.1351,6.5493
137.46,138.6,19.799,18.305,7.8902,6.3665
167.46,172.6,19.536,18.058,7.6764,6.2075
137.46,138.6,19.712,18.233,7.9285,6.3974
167.46,172.6,19.463,17.997,7.7097,6.2344
137.46,138.6,19.65,18.181,7.9576,6.4208
137.46,138.6,19.411,17.953,7.7351,6.2547
167.46,172.6,19.17,17.726,7.5412,6.1105
137.46,138.6,19.367,17.922,7.8106,6.3131
167.46,172.6,19.14,17.705,7.6069,6.1612
167.46,172.6,19.349,17.909,7.8679,6.3572
137.46,138.6,19.567,18.118,8.0957,6.5275
167.46,172.6,19.353,17.909,7.8557,6.3475
137.46,138.6,19.569,18.116,8.0851,6.5191
137.46,138.6,19.354,17.906,7.8465,6.3403
167.46,172.6,19.133,17.694,7.6382,6.1848
137.46,138.6,19.346,17.902,7.8952,6.3776
137.46,138.6,19.131,17.696,7.6807,6.2172
137.46,138.6,18.914,17.49,7.4938,6.078
137.46,138.6,18.696,17.286,7.3311,5.9573
167.46,172.6,18.482,17.087,7.1899,5.8529
137.46,138.6,18.71,17.314,7.5049,6.0899
137.46,138.6,18.516,17.129,7.3408,5.9676
137.46,138.6,18.322,16.947,7.1983,5.8618
167.46,172.6,18.132,16.77,7.0746,5.7703
137.46,138.6,18.383,17.018,7.4048,6.0184
137.46,138.6,18.212,16.854,7.2538,5.9058
137.46,138.6,18.041,16.692,7.1228,5.8083
167.46,172.6,17.872,16.533,7.0092,5.7242
137.46,138.6,18.143,16.799,7.348,5.9785
137.46,138.6,17.991,16.652,7.2045,5.8712
167.46,172.6,17.838,16.506,7.08,5.7785
167.46,172.6,18.122,16.781,7.4095,6.0255
167.46,172.6,18.416,17.06,7.6959,6.2394
137.46,138.6,18.713,17.337,7.9455,6.4251
137.46,138.6,18.572,17.192,7.7246,6.2585
167.46,172.6,18.419,17.041,7.532,6.1138
167.46,172.6,18.696,17.305,7.8026,6.316
137.46,138.6,18.975,17.568,8.0386,6.4917
137.46,138.6,18.818,17.408,7.8059,6.3164
167.46,172.6,18.649,17.243,7.6029,6.164
167.46,172.6,18.909,17.493,7.8643,6.3596
137.46,138.6,19.173,17.742,8.0926,6.5296
137.46,138.6,19.001,17.57,7.853,6.3494
167.46,172.6,18.818,17.393,7.6439,6.1927
137.46,138.6,19.065,17.632,7.9002,6.3845
167.46,172.6,18.881,17.453,7.6851,6.2232
167.46,172.6,19.127,17.689,7.936,6.411
137.46,138.6,19.376,17.926,8.1552,6.5744
167.46,172.6,19.19,17.741,7.9078,6.3883
137.46,138.6,19.429,17.97,8.1306,6.5547
