H1,H2
21.635,20.559
22.007,20.499
21.847,20.403
21.667,20.344
21.062,19.929
20.967,19.844
21.309,20.335
21.044,20.346
21.027,20.189
20.735,19.924
20.182,19.602
20.583,19.698
20.603,19.699
20.532,19.617
20.651,19.82
20.724,19.889
20.995,20.137
20.272,19.916
20.557,19.755
20.115,19.508
20.53,19.716
20.814,19.52
20.973,19.589
20.688,19.233
20.329,19.337
20.363,19.098
20.36,19.281
20.595,19.694
20.76,19.518
20.735,19.685
21.147,19.52
20.86,19.036
20.466,18.961
20.395,18.329
20.31,18.356
20.059,18.589
20.318,18.586
19.85,18.155
19.851,17.973
19.587,17.794
19.162,17.373
19.282,17.833
19.393,17.673
19.871,17.961
19.938,18.06
19.718,18.267
19.704,18.518
20.16,18.274
20.902,18.693
20.439,18.483
20.273,18.918
20.211,18.992
20.066,19.019
20.417,19.092
20.246,19.207
20.31,19.196
20.646,19.328
21.005,19.848
21.264,19.579
20.673,19.101
20.541,19.084
20.789,19.178
20.593,19.083
20.455,18.96
20.303,18.749
19.682,19.045
19.329,18.75
19.748,18.416
19.829,18.871
19.701,18.621
19.664,18.293
19.798,18.851
19.77,19.062
19.737,18.864
19.798,18.541
19.377,18.524
20.047,18.73
19.576,18.412
19.558,18.175
19.964,18.295
20.418,18.616
20.108,18.638
20.376,18.456
20.033,18.264
20.13,18.256
20.038,18.351
20.078,18.32
19.858,18.218
19.483,18.144
19.152,17.495
18.911,17.411
18.448,17.137
18.389,16.904
18.629,17.254
18.874,17.579
18.256,17.451
18.227,17.426
18.179,17.199
18.061,17.015
17.89,16.903
17.718,16.522
17.246,16.214
17.765,16.512
18.025,17.112
18.476,17.099
18.876,17.603
19.117,17.486
19.05,17.478
19.235,17.943
19.022,17.72
19.243,18.05
19.368,18.353
19.788,18.716
20.279,18.814
20.284,18.854
20.487,19.092
20.489,18.824
20.64,19.12
21.157,19.241
20.845,19.527
20.999,19.477
20.7,19.75
20.964,19.163
20.543,19.438
20.125,18.964
20.322,19.25
20.413,19.386
20.802,19.292
20.872,19.673
21.201,19.868
20.989,19.698
20.578,19.497
20.736,19.947
20.934,19.735
20.923,19.618
20.699,19.584
20.876,19.685
20.849,19.862
21.312,20.182
20.728,20.109
20.853,20.121
20.848,20.415
21.336,20.681
21.219,20.45
20.648,20.407
21.15,20.201
21.094,19.971
21.221,20.114
21.293,20.096
20.788,19.837
20.406,19.381
20.868,19.742
21.125,19.83
20.626,19.269
20.598,19.058
20.713,19.226
20.765,19.189
20.799,19.073
