H1,H2,H3,H4
18.497,17.6,7.5105,6.2137
18.7,17.801,7.762,6.3957
18.461,17.54,7.5375,6.2099
18.631,17.879,7.7713,6.4386
18.512,17.815,7.5845,6.3161
18.944,18.12,7.904,6.5239
19.382,18.234,8.1872,6.6401
19.299,18.049,7.9704,6.4531
19.15,17.637,7.7639,6.2131
18.941,17.378,7.5666,6.0543
18.538,17.268,7.3268,5.967
18.347,17.193,7.1884,5.9036
18.799,17.035,7.5779,6.0003
18.644,17.093,7.4184,5.9688
19.035,17.532,7.7566,6.2593
18.587,17.103,7.4737,6.0307
18.408,16.994,7.3156,5.9377
18.074,16.907,7.1243,5.8655
18.14,16.633,7.0945,5.7383
17.961,16.455,6.9862,5.6578
18.232,16.952,7.3322,6.0023
18.174,16.837,7.2273,5.9069
18.615,17.023,7.5984,6.1119
18.8,17.343,7.8333,6.3332
18.902,17.579,8.0076,6.498
19.313,17.796,8.2617,6.6364
19.016,17.774,7.957,6.4903
18.825,17.423,7.7277,6.2568
18.492,17.163,7.4812,6.0824
18.273,17.075,7.3043,5.9902
18.402,17.128,7.5561,6.1415
18.496,17.586,7.758,6.4093
18.94,17.974,8.0514,6.6215
19.322,18.39,8.2903,6.8199
19.057,18.156,7.9913,6.5907
19.099,17.85,7.8389,6.3677
18.816,17.837,7.6007,6.2746
19.038,17.918,7.8554,6.4121
19.189,18.16,8.0506,6.585
19.44,18.234,8.2536,6.6785
19.358,17.848,8.0279,6.4156
19.451,18.024,8.1861,6.5626
19.932,18.471,8.456,6.7843
20.225,18.766,8.6339,6.9306
19.805,18.667,8.2576,6.7414
20.011,18.66,8.4334,6.7973
20.225,19.064,8.5906,6.9855
20.384,19.069,8.7107,7.0181
20.019,18.849,8.3463,6.7826
20.297,19.218,8.5405,6.968
20.538,19.451,8.7,7.0873
20.413,19.509,8.4265,6.9492
20.599,19.252,8.5894,6.9104
20.892,19.573,8.7702,7.0712
20.568,19.316,8.4284,6.8305
20.251,19.061,8.1333,6.6229
20.3,19.164,8.2902,6.7497
20.456,19.236,8.4608,6.8472
20.278,18.963,8.2052,6.6278
19.952,18.429,7.9334,6.3449
20.087,18.703,8.1432,6.5587
20.441,18.683,8.4003,6.6411
20.309,18.403,8.1699,6.4359
20.025,18.107,7.92,6.2511
20.205,18.178,8.1505,6.3982
20.01,18.056,7.9315,6.2732
19.625,17.936,7.6753,6.1668
19.881,18.033,7.9596,6.3321
19.635,17.705,7.7429,6.1419
20.089,18.063,8.0853,6.3951
19.814,17.816,7.8447,6.223
20.032,17.914,8.0937,6.3751
19.601,17.519,7.7954,6.1505
19.573,17.748,7.9584,6.3506
19.277,17.323,7.7131,6.114
19.523,17.395,7.9744,6.2592
19.237,17.267,7.7281,6.1294
19.531,17.267,8.002,6.2449
19.404,17.088,7.8066,6.0957
19.239,16.83,7.6268,5.9391
19.135,16.99,7.7779,6.1285
19.107,16.901,7.6409,6.0212
18.897,16.743,7.4626,5.906
18.639,16.373,7.2905,5.7324
18.427,16.124,7.1551,5.6189
18.445,16.331,7.1166,5.6768
17.792,16.154,6.8493,5.5976
17.504,16.087,6.7331,5.5644
17.337,15.934,6.6697,5.5052
17.042,15.809,6.5663,5.4614
16.832,15.78,6.5002,5.4546
16.849,15.89,6.5172,5.4957
16.756,15.866,6.4934,5.4864
17.306,16.184,6.9782,5.7786
17.293,15.97,6.9155,5.6635
17.111,16.015,6.8061,5.6498
17.484,16.178,7.1871,5.8644
17.96,16.953,7.5499,6.2548
18.329,17.359,7.8317,6.4775
18.507,17.54,8.0156,6.5998
19.146,17.585,8.3309,6.6618
19.718,17.768,8.5948,6.7612
19.898,18.115,8.7042,6.9055
20.265,18.538,8.8656,7.0632
20.301,18.511,8.9016,7.0554
20.44,18.718,8.9684,7.1279
20.735,18.832,9.083,7.1632
20.633,18.831,8.7625,6.9715
20.308,18.717,8.4121,6.7731
20.446,18.766,8.5566,6.8438
20.169,18.431,8.2501,6.5875
20.516,18.731,8.4904,6.7683
20.479,19.104,8.5682,6.9538
20.918,19.343,8.7992,7.0738
21.24,19.626,8.9676,7.1966
21.473,19.876,9.0892,7.2972
21.426,20.31,9.1023,7.4527
21.499,20.528,9.1535,7.5223
21.711,20.671,9.2477,7.5619
21.957,20.745,9.3464,7.5758
22.366,20.826,9.4953,7.5923
22.068,20.329,9.0988,7.2232
22.01,20.467,9.1267,7.3035
21.535,20.059,8.7137,7.0007
21.077,19.7,8.3561,6.7521
20.884,19.166,8.1363,6.4712
20.949,19.352,8.3212,6.6572
21.12,19.59,8.5158,6.8356
21.319,19.533,8.6945,6.8877
21.361,19.584,8.7957,6.9672
21.772,19.585,9.0114,7.0176
21.748,19.583,9.0553,7.059
22.068,20.007,9.2112,7.2412
22.287,20.035,9.3183,7.2698
22.444,20.181,9.3947,7.3357
22.287,19.834,9.066,7.0398
21.815,19.377,8.6736,6.7432
21.73,19.008,8.466,6.5121
22,19.139,8.7005,6.6659
22.025,19.143,8.8189,6.7528
21.454,18.766,8.4223,6.5099
21.477,18.86,8.5658,6.6426
21.81,19.052,8.7964,6.7904
21.542,19.223,8.7897,6.9123
21.696,19.457,8.923,7.0409
21.71,19.637,8.9913,7.1375
21.848,19.745,9.0929,7.199
22.291,19.964,9.2893,7.2922
22.344,20.205,9.3343,7.3849
21.734,19.807,8.8535,7.0642
21.91,19.817,8.9913,7.1086
22.102,20.022,9.1188,7.2147
21.643,19.855,8.7162,6.9966
21.641,20.06,8.8098,7.1224
21.428,19.66,8.5277,6.8392
21.171,19.421,8.2686,6.6474
21.261,19.684,8.4512,6.8385
21.261,19.802,8.5745,6.9544
21.718,19.88,8.8396,7.041
21.684,20.066,8.9054,7.1534
21.721,20.288,8.9841,7.2656
21.897,20.54,9.1003,7.3768
21.903,20.553,9.1448,7.3952
21.123,20.143,8.6193,7.0796
21.069,19.653,8.4062,6.7747
20.945,19.771,8.4859,6.9007
20.642,19.36,8.1998,6.6411
20.46,19.052,7.9935,6.4488
20.188,18.755,7.7833,6.2832
20.39,18.638,8.0513,6.3796
20.284,18.436,7.8871,6.2457
20.236,18.666,8.0525,6.4611
20.49,18.881,8.2945,6.6412
20.639,19.071,8.4689,6.7893
20.632,19.155,8.566,6.8818
20.751,19.122,8.6911,6.9215
20.9,19.228,8.8102,7.0013
20.789,19.007,8.5362,6.7735
20.749,19.273,8.6159,6.93
20.473,18.938,8.3107,6.6761
20.248,18.6,8.0644,6.4529
20.349,18.805,8.251,6.6294
20.581,18.868,8.4565,6.7322
20.157,18.565,8.12,6.5096
20.076,18.226,7.9448,6.3023
19.757,17.981,7.7117,6.1527
19.776,18.307,7.9105,6.403
19.829,18.622,8.0887,6.6161
20.028,18.867,8.2908,6.7786
20.193,19.109,8.4548,6.9207
20.393,19.118,8.6099,6.967
20.398,18.697,8.3904,6.6728
20.049,18.509,8.0844,6.4946
20.228,18.194,8.0026,6.2964
20.456,18.376,8.2439,6.4777
19.933,18.217,7.9032,6.3328
19.986,18.499,8.0886,6.5435
19.575,18.276,7.7959,6.3688
19.714,18.458,8.0164,6.5404
19.826,18.727,8.1955,6.7188
19.592,18.69,7.9414,6.5857
19.998,18.995,8.2318,6.7762
20.182,19.08,8.4111,6.8688
20.285,19.24,8.5394,6.9748
20.42,19.268,8.6616,7.0228
20.202,19.125,8.3578,6.8196
20.375,19.303,8.5199,6.9413
20.5,19.347,8.6447,7.002
20.141,19.069,8.2972,6.7584
19.854,18.809,8.019,6.5528
19.744,18.622,7.8394,6.3998
19.783,18.56,7.7397,6.3114
19.285,18.353,7.4675,6.1853
19.492,18.208,7.7575,6.276
19.238,17.994,7.5579,6.141
19.062,17.963,7.4108,6.0871
19.23,18.189,7.6882,6.3126
19.685,18.477,8.0246,6.5277
19.81,18.466,8.2067,6.6126
19.79,18.256,8.0233,6.4292
19.631,17.906,7.8228,6.2221
20.043,18.156,8.1363,6.4303
19.718,17.749,7.8684,6.2
19.933,18.032,8.1087,6.4182
20.259,18.375,8.3551,6.6286
20.55,18.523,8.5603,6.7475
20.645,18.858,8.6751,6.9154
20.453,18.598,8.386,6.6764
20.128,18.307,8.0911,6.4585
20.071,18.769,8.2132,6.7136
19.7,18.62,7.9166,6.5444
19.722,18.91,8.0798,6.7352
20.14,19.396,8.3564,6.9707
19.761,19.128,8.0363,6.7373
20.117,19.23,8.2996,6.8466
20.061,18.956,8.1008,6.6267
19.809,18.734,7.8648,6.4534
19.688,18.592,7.7058,6.3307
19.864,18.719,7.9588,6.5004
19.899,18.889,8.126,6.66
20.014,19.103,8.295,6.8132
19.587,18.928,7.9641,6.6288
19.55,19.117,8.0953,6.7802
19.582,18.735,7.9409,6.5304
19.34,18.628,7.7177,6.4065
19.17,18.264,7.549,6.2105
19.227,18.342,7.7675,6.3726
18.817,18.25,7.5017,6.268
18.714,17.957,7.3744,6.1085
18.578,17.834,7.2537,6.0269
18.729,18.001,7.534,6.2378
18.882,18.31,7.7728,6.467
18.584,17.768,7.5333,6.1895
18.811,18.124,7.7925,6.4353
19.093,18.309,8.0354,6.5915
18.796,18.186,7.7598,6.4364
18.511,18.236,7.5232,6.3637
18.218,18.077,7.3138,6.2336
18.472,18.204,7.6065,6.4027
18.784,18.22,7.8786,6.5084
18.611,17.798,7.6607,6.2617
18.495,17.4,7.493,6.0516
18.633,17.556,7.7247,6.2391
18.834,17.957,7.9444,6.4849
18.7,17.821,7.7306,6.3323
18.973,17.978,7.9764,6.486
19.097,17.683,7.8517,6.2789
18.797,17.296,7.6057,6.0657
19.127,17.489,7.8968,6.2605
18.854,17.436,7.6536,6.1599
19.477,17.957,8.041,6.4568
19.698,18.037,8.2455,6.5677
19.387,17.818,7.952,6.3745
19.553,18.17,8.1489,6.5886
19.313,17.877,7.8903,6.3709
19.533,18.064,8.1138,6.5305
19.375,17.682,7.8892,6.2882
19.836,18.059,8.1995,6.5215
19.718,18.024,7.9853,6.401
19.43,17.962,7.7434,6.2907
19.068,17.627,7.506,6.1029
19.383,17.815,7.8194,6.3008
19.284,17.862,7.6597,6.2389
19.025,17.524,7.4676,6.0557
18.843,17.325,7.326,5.9419
19.11,17.57,7.645,6.178
18.776,17.4,7.4228,6.0537
18.618,17.267,7.2882,5.9587
