H1,H2,H3,H4
20.246,18.727,8.4069,6.7529
20.434,18.904,8.5676,6.8725
20.621,19.079,8.7087,6.9771
20.805,19.25,8.8327,7.0686
20.549,18.998,8.5015,6.8196
20.716,19.158,8.6507,6.9308
20.884,19.316,8.7817,7.0281
20.614,19.052,8.4567,6.7842
20.769,19.203,8.6113,6.8999
20.927,19.353,8.7471,7.001
20.649,19.083,8.4263,6.7605
20.361,18.809,8.145,6.5505
20.507,18.955,8.3381,6.6959
20.224,18.685,8.0677,6.4942
19.938,18.417,7.8313,6.3185
20.09,18.572,8.0637,6.4939
20.253,18.733,8.2669,6.6466
20.424,18.897,8.4449,6.7797
20.162,18.644,8.1612,6.5673
19.894,18.389,7.913,6.3821
20.06,18.554,8.1351,6.5493
19.799,18.305,7.8902,6.3665
19.536,18.058,7.6764,6.2075
19.712,18.233,7.9285,6.3974
19.463,17.997,7.7097,6.2344
19.65,18.181,7.9576,6.4208
19.411,17.953,7.7351,6.2547
19.17,17.726,7.5412,6.1105
19.367,17.922,7.8106,6.3131
19.14,17.705,7.6069,6.1612
19.349,17.909,7.8679,6.3572
19.567,18.118,8.0957,6.5275
19.353,17.909,7.8557,6.3475
19.569,18.116,8.0851,6.5191
19.354,17.906,7.8465,6.3403
19.133,17.694,7.6382,6.1848
19.346,17.902,7.8952,6.3776
19.131,17.696,7.6807,6.2172
18.914,17.49,7.4938,6.078
18.696,17.286,7.3311,5.9573
18.482,17.087,7.1899,5.8529
18.71,17.314,7.5049,6.0899
18.516,17.129,7.3408,5.9676
18.322,16.947,7.1983,5.8618
18.132,16.77,7.0746,5.7703
18.383,17.018,7.4048,6.0184
18.212,16.854,7.2538,5.9058
18.041,16.692,7.1228,5.8083
17.872,16.533,7.0092,5.7242
18.143,16.799,7.348,5.9785
17.991,16.652,7.2045,5.8712
17.838,16.506,7.08,5.7785
18.122,16.781,7.4095,6.0255
18.416,17.06,7.6959,6.2394
18.713,17.337,7.9455,6.4251
18.572,17.192,7.7246,6.2585
18.419,17.041,7.532,6.1138
18.696,17.305,7.8026,6.316
18.975,17.568,8.0386,6.4917
18.818,17.408,7.8059,6.3164
18.649,17.243,7.6029,6.164
18.909,17.493,7.8643,6.3596
19.173,17.742,8.0926,6.5296
19.001,17.57,7.853,6.3494
18.818,17.393,7.6439,6.1927
19.065,17.632,7.9002,6.3845
18.881,17.453,7.6851,6.2232
19.127,17.689,7.936,6.411
19.376,17.926,8.1552,6.5744
19.19,17.741,7.9078,6.3883
19.429,17.97,8.1306,6.5547
19.234,17.779,7.8862,6.3712
19.466,18.001,8.1117,6.5397
19.265,17.805,7.8697,6.3581
19.492,18.024,8.0973,6.5284
19.286,17.824,7.8571,6.3483
19.51,18.04,8.0863,6.5198
19.301,17.837,7.8475,6.3408
19.521,18.051,8.0779,6.5133
19.31,17.847,7.8402,6.3352
19.093,17.64,7.6327,6.1803
18.873,17.435,7.452,6.046
19.092,17.651,7.7329,6.2572
18.885,17.454,7.5393,6.1127
18.676,17.258,7.3707,5.9873
18.469,17.066,7.2242,5.8789
18.266,16.879,7.0971,5.7851
18.069,16.699,6.9869,5.7041
17.88,16.527,6.8915,5.6342
17.699,16.363,6.8091,5.574
17.527,16.207,6.7378,5.5222
17.366,16.061,6.6762,5.4776
17.214,15.924,6.6231,5.4392
17.073,15.796,6.5773,5.4062
17.378,16.096,6.9742,5.7042
17.7,16.403,7.3177,5.9613
17.592,16.294,7.1782,5.8563
17.48,16.182,7.0572,5.7656
17.8,16.489,7.3897,6.0144
18.127,16.796,7.6787,6.2297
18.453,17.098,7.9305,6.4167
18.774,17.394,8.1504,6.5793
19.086,17.68,8.3428,6.7211
19.387,17.955,8.5114,6.8448
19.677,18.218,8.6594,6.9528
19.953,18.469,8.7893,7.0473
20.215,18.706,8.9036,7.1301
20.463,18.93,9.0042,7.2026
20.261,18.724,8.6522,6.9369
20.476,18.924,8.7831,7.0334
20.248,18.699,8.4579,6.7888
20.441,18.883,8.6124,6.9039
20.197,18.646,8.3081,6.6756
20.378,18.822,8.481,6.8051
20.561,18.997,8.6326,6.9181
20.742,19.169,8.7658,7.017
20.92,19.336,8.8829,7.1035
21.094,19.498,8.986,7.1793
21.261,19.653,9.0767,7.2458
21.422,19.801,9.1567,7.304
21.575,19.943,9.2272,7.3552
21.721,20.077,9.2894,7.4001
21.424,19.786,8.9033,7.1099
21.113,19.489,8.5635,6.8557
20.794,19.188,8.2652,6.6336
20.473,18.889,8.004,6.4399
20.154,18.595,7.7756,6.2713
19.84,18.308,7.5765,6.1249
19.971,18.448,7.8413,6.3256
20.121,18.601,8.0725,6.5001
20.282,18.76,8.2746,6.652
20.451,18.922,8.4516,6.7844
20.623,19.085,8.6069,6.9001
20.795,19.246,8.7432,7.0012
20.965,19.404,8.863,7.0897
21.131,19.558,8.9685,7.1672
20.858,19.288,8.6208,6.9059
21.007,19.431,8.7555,7.0063
21.157,19.572,8.8738,7.0941
21.305,19.71,8.978,7.1711
21.45,19.845,9.0697,7.2385
21.591,19.975,9.1505,7.2977
21.292,19.681,8.7809,7.0201
21.416,19.801,8.8962,7.1063
21.54,19.919,8.9977,7.1817
21.664,20.035,9.087,7.2479
21.785,20.149,9.1658,7.3059
21.903,20.258,9.2352,7.3568
22.017,20.364,9.2964,7.4015
22.127,20.464,9.3505,7.4407
21.796,20.143,8.9571,7.1456
21.454,19.816,8.6109,6.8869
21.542,19.907,8.7467,6.9897
21.637,20.002,8.8661,7.0796
21.736,20.098,8.9712,7.1584
21.837,20.195,9.0637,7.2274
21.503,19.873,8.7046,6.9586
21.161,19.549,8.389,6.7234
21.253,19.645,8.5519,6.8468
21.355,19.747,8.6949,6.9546
21.463,19.853,8.8206,7.0489
21.574,19.96,8.9311,7.1315
21.687,20.066,9.0284,7.2038
21.799,20.172,9.1141,7.2672
21.475,19.856,8.7489,6.9934
21.576,19.956,8.8681,7.0829
21.246,19.639,8.5326,6.8321
21.346,19.74,8.6779,6.9418
21.453,19.845,8.8057,7.0377
21.564,19.951,8.918,7.1216
21.24,19.639,8.5764,6.866
21.346,19.744,8.7165,6.9714
21.022,19.434,8.3994,6.7346
21.129,19.542,8.5611,6.8565
21.244,19.655,8.703,6.9631
21.364,19.77,8.8277,7.0564
21.486,19.886,8.9373,7.138
21.608,20,9.0339,7.2095
21.294,19.694,8.6783,6.9429
20.97,19.385,8.3659,6.7097
20.643,19.076,8.0921,6.5062
20.317,18.772,7.8526,6.329
20.432,18.894,8.0823,6.503
20.562,19.025,8.2832,6.6545
20.267,18.744,8.0197,6.4581
19.971,18.466,7.7894,6.2872
19.678,18.193,7.5885,6.1387
19.391,17.928,7.4135,6.0099
19.55,18.092,7.6994,6.2259
19.726,18.266,7.9485,6.4133
19.914,18.447,8.1662,6.5764
